ID,block,total,correct,span
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,3,12,4,3
16,5,30,6,4
17,5,40,8,5
18,5,35,7,4.5
19,5,30,6,4
20,2,4,2,2
21,3,6,2,2
22,5,30,6,4
23,5,30,6,4
24,1,0,0,1
25,1,0,0,1
26,1,0,0,1
27,5,35,7,4.5
28,2,4,2,2
29,5,30,6,4
30,5,30,6,4
31,3,9,3,2.5
32,.,.,.,.
33,.,.,.,.
34,,.,.,.
35,5,25,5,3.5
36,5,35,7,4.5
37,3,12,4,3
38,.,.,.,.
39,3,12,4,3
40,5,35,7,4.5
41,5,35,7,4.5
42,5,30,6,4
43,3,12,4,3
44,5,35,7,4.5
45,4,24,6,4
46,4,24,6,4
47,5,40,8,5
48,5,30,6,4
49,5,35,7,4.5
50,5,30,6,4
51,5,35,7,4.5
52,5,35,7,4.5
53,4,20,5,3.5
54,3,12,4,3
55,4,20,5,3.5
56,4,16,4,3
57,5,40,8,5
58,3,9,3,2.5
59,3,9,3,2.5
60,5,30,6,4
61,2,2,1,1.5
62,2,4,2,2
63,2,2,1,1.5
64,5,25,5,3.5
65,2,4,2,2
66,5,35,7,4.5
67,5,35,7,4.5
68,4,24,6,4
69,4,20,5,3.5
70,3,9,3,2.5
71,3,6,2,2
72,5,35,7,4.5
73,5,30,6,4
74,3,12,4,3
75,1,0,0,1
76,3,9,3,2.5
77,.,.,.,.
78,.,.,.,.
79,.,.,.,.
80,5,25,5,3.5
81,3,6,2,2
82,4,20,5,3.5
83,5,30,6,4
84,3,6,2,2
85,.,.,.,.
86,4,16,4,3
87,4,16,4,3
88,5,35,7,4.5
89,5,35,7,4.5
90,5,30,6,4
91,.,.,.,.
92,3,9,3,2.5
93,4,20,5,3.5
94,3,9,3,2.5
95,3,9,3,2.5
96,4,20,5,3.5
97,5,30,6,4
98,2,2,1,1.5
99,1,0,0,1
100,3,9,3,2.5
101,5,40,8,5
102,5,40,8,5
103,2,2,1,1.5
104,3,9,3,2.5
105,5,30,6,4
106,6,54,9,5.5
107,3,9,3,2.5
108,5,30,6,4
109,4,20,5,3.5
110,4,20,5,3.5
111,.,.,.,.
112,4,20,5,3.5
113,4,20,5,3.5
114,5,30,6,4
115,2,4,2,2
116,1,0,0,1
117,5,40,8,5
118,3,9,3,2.5
119,4,24,6,4
120,4,24,6,4
121,5,30,6,4
122,4,24,6,4
123,5,30,6,4
124,5,40,8,5
125,5,30,6,4
126,5,35,7,4.5
127,5,25,5,3.5
128,5,25,5,3.5
129,3,12,4,3
