ID,tot,econ,health,social,mating,alone,company
1,,,,,,,
2,0,0,0,0,0,0,0
3,2,0,2,0,0,0,2
4,2,0,1,1,0,0,2
5,1,0,0,1,0,0,1
6,5,0,0,5,0,0,5
7,2,1,1,0,0,0,1
8,3,2,1,0,0,1,1
9,1,0,0,1,0,1,0
10,8,0,2,6,0,5,3
11,,,,,,,
12,,,,,,,
13,3,0,2,1,0,1,2
14,1,1,0,0,0,1,0
15,,,,,,,
16,2,1,0,1,0,1,1
17,5,4,0,1,0,4,1
18,,,,,,,
19,,,,,,,
20,3,0,0,3,0,1,1
21,,,,,,,
22,1,1,0,0,0,1,0
23,,,,,,,
24,1,1,0,0,0,1,0
25,,,,,,,
26,,,,,,,
27,4,1,2,1,0,0,4
28,,,,,,,
29,2,1,0,1,0,0,2
30,5,3,0,0,2,3,2
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,3,2,0,0,1,2,1
53,0,0,0,0,0,0,0
54,1,1,1,0,0,0,1
55,,,,,,,
56,8,6,0,1,0,3,5
57,,,,,,,
58,2,1,0,1,0,2,0
59,3,0,1,2,0,2,1
60,,,,,,,
61,0,0,0,0,0,0,0
62,1,0,1,0,0,0,1
63,,,,,,,
64,1,1,0,0,0,0,1
65,,,,,,,
66,1,0,0,1,0,0,1
67,,,,,,,
68,2,2,0,0,0,0,2
69,,,,,,,
70,,,,,,,
71,1,0,0,1,0,1,0
72,,,,,,,
73,,,,,,,
74,1,1,0,0,0,0,1
75,7,7,0,0,0,7,0
76,5,2,0,2,0,0,4
77,1,0,0,1,0,1,0
78,2,0,2,0,0,0,2
79,1,0,0,1,0,0,1
80,5,3,1,0,1,1,4
81,16,8,0,1,7,12,4
82,3,2,0,0,1,3,0
83,1,0,1,0,0,0,1
84,1,1,0,0,0,1,0
85,3,2,0,1,0,1,2
86,3,0,2,1,0,0,3
87,2,0,2,0,0,0,2
88,2,0,0,2,0,0,2
89,0,0,0,0,0,0,0
90,8,0,0,8,0,7,1
91,5,0,0,5,0,0,5
92,5,0,0,5,0,0,5
93,1,1,0,0,0,0,1
94,1,0,1,0,0,0,1
95,0,0,0,0,0,0,0
96,2,0,0,2,0,0,2
97,4,2,0,2,0,1,3
98,2,1,0,1,0,0,2
99,1,0,1,0,0,0,1
100,2,1,0,1,0,0,2
101,1,1,0,0,0,0,1
102,19,10,0,7,1,8,10
103,1,0,0,1,0,0,1
104,6,0,4,2,0,1,5
105,4,3,0,1,0,1,3
106,2,0,2,0,0,0,2
107,1,0,0,1,0,0,1
108,0,0,0,0,0,0,0
109,1,1,0,0,0,1,0
110,4,2,0,1,1,1,3
111,1,0,0,1,0,1,0
112,2,2,0,0,0,0,2
113,3,2,0,0,1,1,2
114,2,0,0,2,0,0,2
115,2,2,0,0,0,0,2
116,4,1,0,3,0,1,3
117,1,0,0,1,0,0,1
118,2,0,0,2,0,1,1
119,9,5,0,2,2,9,0
120,12,8,1,3,0,5,7
121,1,1,0,0,0,1,0
122,6,4,0,2,0,4,2
123,6,6,0,0,0,5,1
124,11,4,0,2,4,8,2
125,3,2,0,1,0,1,2
126,4,2,1,1,0,2,2
127,0,0,0,0,0,0,0
128,3,3,0,0,0,0,3
129,2,0,1,1,0,1,1
