subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
117,1,P,-1,8666,3,135,15,1,2,0,6679
117,1,P,-2,20893,3,248,248,3,0,1,6492
117,1,P,-3,32936,3,679,679,3,0,1,7659
117,1,T,1,48073,2,85,85,2,0,1,5189
117,1,T,2,57809,2,64,64,2,0,1,4111
117,1,T,3,67472,3,472,472,3,0,1,5062
117,1,T,4,78089,3,815,815,3,0,1,7334
117,1,T,5,91982,4,3417,3417,4,0,1,7178
117,1,T,6,105718,4,6158,6158,4,0,1,7300
117,1,T,7,120579,5,52186,52186,5,0,1,7516
117,1,T,8,135660,5,42731,42731,5,0,1,7408
117,1,T,9,151634,6,392487,394257,3,3,0,12173
117,1,T,10,172374,6,378294,37284,2,4,0,13387
