subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
93,1,P,-1,1,8610,23516,14906,14906,1,632,495
93,1,P,-1,2,8610,23978,15368,205,3,782,390
93,1,P,-1,3,8610,24428,15818,192,5,662,300
93,1,P,-2,1,31940,36188,4248,4248,2,332,465
93,1,P,-2,2,31940,36558,4618,113,4,452,360
93,1,P,-2,3,31940,37058,5118,241,8,467,90
93,1,P,-3,1,43811,47880,4069,4069,6,827,210
93,1,P,-3,2,43811,48421,4610,283,7,287,180
93,1,P,-3,3,43811,48896,5085,216,9,647,120
93,1,T,1,1,54377,57190,2813,2813,8,467,90
93,1,T,1,2,54377,57663,3286,216,5,662,300
93,1,T,2,1,62795,65196,2401,2401,6,827,210
93,1,T,2,2,62795,65615,2820,161,4,452,360
93,1,T,3,1,71707,75207,3500,3500,4,452,360
93,1,T,3,2,71707,75711,4004,249,7,287,180
93,1,T,3,3,71707,76250,4543,280,2,332,465
93,1,T,4,1,82241,85278,3037,3037,8,467,90
93,1,T,4,2,82241,85864,3623,329,1,632,495
93,1,T,4,3,82241,86286,4045,164,5,662,300
93,1,T,5,1,93375,97085,3710,3710,3,782,390
93,1,T,5,2,93375,97589,4214,247,4,452,360
93,1,T,5,3,93375,98018,4643,171,1,632,495
93,1,T,5,4,93375,98532,5157,256,7,287,180
93,1,T,6,1,105705,110803,5098,5098,6,827,210
93,1,T,6,2,105705,111362,5657,301,3,782,390
93,1,T,6,3,105705,111823,6118,203,5,662,300
93,1,T,6,4,105705,112543,6838,462,8,467,90
93,1,T,7,1,120796,126651,5855,5855,5,662,300
93,1,T,7,2,120796,128184,7388,1276,2,332,465
93,1,T,7,3,120796,128815,8019,373,1,632,495
93,1,T,7,4,120796,129464,8668,391,4,452,360
93,1,T,7,5,120796,130237,9441,515,8,467,90
93,1,T,7,6,120796,130675,9879,180,6,827,210
93,1,T,8,1,138996,147980,8984,8984,4,452,360
93,1,T,8,2,138996,148340,9344,102,2,332,465
93,1,T,8,3,138996,148923,9927,325,7,287,180
93,1,T,8,4,138996,159125,20129,9943,4,452,360
93,1,T,8,5,138996,159607,20611,224,7,287,180
93,1,T,8,6,138996,160061,21065,196,2,332,465
