subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
322,1,P,-1,19008,3,135,,0,3,0,3755
322,1,P,-2,28315,3,248,248,3,0,1,4503
322,1,P,-3,38368,3,679,679,3,0,1,3889
320,1,P,-1,16367,3,135,135,3,0,1,5108
320,1,P,-2,27032,3,248,2789,2,2,0,9579
320,1,P,-3,42166,3,679,6798,3,1,0,6490
320,1,T,1,71806,2,85,965,0,3,0,9150
320,1,T,2,85509,2,64,64,2,0,1,5460
320,1,T,3,96530,3,472,472,3,0,1,3576
320,1,T,4,105665,3,815,815,3,0,1,3480
320,1,T,5,115707,4,3417,3417,4,0,1,7708
320,1,T,6,129982,4,6158,3158,3,1,0,5959
320,1,T,7,143511,5,52186,32186,4,1,0,6781
320,1,T,8,157866,5,42731,3724,0,5,0,4253
1,1,P,-1,9800,3,135,135,3,0,1,3337
1,1,P,-2,18709,3,248,134,0,3,0,14843
1,1,P,-3,39100,3,679,679,3,0,1,3140
1,1,T,1,98360,2,85,85,2,0,1,2255
1,1,T,2,105161,2,64,64,2,0,1,2256
1,1,T,3,112969,3,472,472,3,0,1,2458
1,1,T,4,120981,3,815,815,3,0,1,2809
1,1,T,5,130349,4,3417,3417,4,0,1,3296
1,1,T,6,140195,4,6158,6158,4,0,1,3089
1,1,T,7,150849,5,52186,52186,5,0,1,3437
1,1,T,8,161847,5,42731,42713,3,2,0,3182
1,1,T,9,173599,6,392487,391427,4,2,0,3903
1,1,T,10,186073,6,378294,374289,3,3,0,3999
101,1,P,-1,21511,3,135,135,3,0,1,5936
101,1,P,-2,33048,3,248,248,3,0,1,4614
101,1,P,-3,43208,3,679,679,3,0,1,6596
101,1,T,1,59931,2,85,85,2,0,1,3943
101,1,T,2,68423,2,64,64,2,0,1,6987
101,1,T,3,80962,3,472,472,3,0,1,10558
101,1,T,4,97077,3,815,,0,3,0,21838
101,1,T,5,125467,4,3417,3417,4,0,1,2496
101,1,T,6,134520,4,6158,6158,4,0,1,2329
101,1,T,7,144414,5,52186,618256,0,6,0,4893
101,1,T,8,156871,5,42731,,0,5,0,152481100
102,1,P,-1,666114,3,135,135,3,0,1,3460
103,1,P,-1,9809,3,135,444,0,3,0,1646808
101,1,P,-1,9957,3,135,,0,3,0,273422
101,1,P,-2,288907,3,248,248,3,0,1,66216
101,1,P,-3,360652,3,679,679,3,0,1,3113
101,1,T,1,415263,2,85,75,1,1,0,2665
101,1,T,2,422458,2,64,64,2,0,1,2872
101,1,P,-1,7689,3,135,135,3,0,1,4486
101,1,P,-2,17725,3,248,248,3,0,1,4299
101,1,P,-3,27548,3,679,679,3,0,1,2883
101,1,P,-1,15286,3,135,135,3,0,1,3130
101,1,P,-2,24023,3,248,28,1,2,0,9909
101,1,P,-3,39478,3,679,679,3,0,1,3891
101,1,T,1,51532,2,85,85,2,0,1,2498
101,1,T,2,58578,2,64,64,2,0,1,2443
101,1,T,3,66575,3,472,472,3,0,1,2647
101,1,T,4,74771,3,815,815,3,0,1,4346
101,1,T,5,85674,4,3417,3417,4,0,1,3266
101,1,T,6,95501,4,6158,6158,4,0,1,4522
101,1,T,7,107585,5,52186,52186,5,0,1,5622
101,1,T,8,120769,5,42731,42731,5,0,1,5241
101,1,T,9,134576,6,392487,394287,4,2,0,5246
101,1,T,10,148389,6,378294,378294,6,0,1,5537
101,1,T,11,163495,7,5917428,1957428,5,2,0,5784
101,1,T,12,178852,7,5792846,5792846,7,0,1,5669
101,1,T,13,195101,8,58192647,58192647,8,0,1,9774
101,1,T,14,215451,8,59367243,5936725,6,2,0,7000
101,1,T,15,234032,9,538712469,538174269,5,4,0,6748
101,1,T,16,252361,9,426817935,426871953,5,4,0,6037
1,1,P,-1,39233,3,135,135,3,0,1,4879
1,1,P,-2,49692,3,248,248,3,0,1,2444
1,1,P,-3,57685,3,679,679,3,0,1,1878
1,1,T,1,69143,2,85,85,2,0,1,2120
1,1,T,2,75808,2,64,64,2,0,1,1916
1,1,T,3,83277,3,472,472,3,0,1,2364
1,1,T,4,91194,3,815,815,3,0,1,2887
1,1,T,5,100633,4,3417,3417,4,0,1,2737
1,1,T,6,109926,4,6158,6158,4,0,1,4091
1,1,T,7,121578,5,52186,52186,5,0,1,4158
1,1,T,8,133294,5,42731,52473,1,4,0,4387
1,1,T,9,146245,6,392487,539247,1,5,0,5479
1,1,T,10,160288,6,378294,378492,4,2,0,6374
000,1,P,-1,10928,3,135,135,3,0,1,8305
000,1,P,-2,24801,3,248,248,3,0,1,4503
000,1,P,-3,34853,3,679,679,3,0,1,4788
000,1,T,1,47417,2,85,85,2,0,1,6673
000,1,T,2,58640,2,64,64,2,0,1,4154
000,1,T,3,68348,3,472,472,3,0,1,4769
000,1,T,4,78672,3,815,815,3,0,1,5292
000,1,T,5,90522,4,3417,3417,4,0,1,7829
000,1,T,6,104910,4,6158,6158,4,0,1,8432
000,1,T,7,120905,5,52186,52186,5,0,1,10913
000,1,T,8,139380,5,42731,42731,5,0,1,8242
000,1,T,9,156187,6,392487,394287,4,2,0,7926
000,1,T,10,172680,6,378294,37829,5,1,0,9220
000,1,P,-1,8984,3,135,135,3,0,1,5315
000,1,P,-2,19890,3,248,248,3,0,1,3689
000,1,P,-3,29130,3,679,679,3,0,1,3565
000,1,T,1,62205,2,85,85,2,0,1,3269
000,1,T,2,70020,2,64,64,2,0,1,5395
000,1,T,3,80967,3,472,472,3,0,1,3900
000,1,T,4,90422,3,815,815,3,0,1,4489
000,1,T,5,101468,4,3417,3147,2,2,0,5450
000,1,T,6,113474,4,6158,6158,4,0,1,3855
000,1,T,7,124891,5,52186,52186,5,0,1,5281
000,1,T,8,137736,5,42731,47231,3,2,0,5193
000,1,T,9,151497,6,392487,39427,2,4,0,4655
000,1,T,10,164718,6,378294,327849,1,5,0,6857
1,1,P,-1,13216,3,135,153,1,2,0,15120
1,1,P,-2,33885,3,248,248,3,0,1,8755
1,1,P,-3,48190,3,679,697,1,2,0,9083
1,1,T,1,65284,2,85,85,2,0,1,8246
1,1,T,2,78080,2,64,64,2,0,1,5852
1,1,T,3,89487,3,472,472,3,0,1,6326
1,1,T,4,101369,3,815,815,3,0,1,6528
1,1,T,5,114456,4,3417,3417,4,0,1,8671
1,1,T,6,129684,4,6158,6158,4,0,1,8324
1,1,T,7,145573,5,52186,51268,1,4,0,12698
1,1,T,8,165837,5,42731,4271,3,2,0,12430
2,1,P,-1,15382,3,135,135,3,0,1,12507
2,1,P,-2,33437,3,248,248,3,0,1,7612
2,1,P,-3,46599,3,679,697,1,2,0,10998
2,1,T,1,67380,2,85,85,2,0,1,6712
2,1,T,2,78639,2,64,64,2,0,1,5630
2,1,T,3,89824,3,472,472,3,0,1,6046
2,1,T,4,101424,3,815,851,1,2,0,6942
2,1,T,5,114926,4,3417,3147,2,2,0,7892
2,1,T,6,129374,4,6158,6157,3,1,0,7675
3,1,P,-1,15938,3,135,135,3,0,1,7594
3,1,P,-2,29078,3,248,248,3,0,1,6924
3,1,P,-3,41553,3,679,679,3,0,1,7599
3,1,T,1,55867,2,85,85,2,0,1,7564
3,1,T,2,67978,2,64,64,2,0,1,4827
3,1,T,3,78355,3,472,472,3,0,1,7631
3,1,T,4,91541,3,815,815,3,0,1,5629
3,1,T,5,103729,4,3417,3417,4,0,1,6958
3,1,T,6,117246,4,6158,6158,4,0,1,6485
3,1,T,7,131292,5,52186,1283,1,4,0,10514
3,1,T,8,149367,5,42731,42731,5,0,1,7866
3,1,T,9,165799,6,392487,39427,2,4,0,9793
3,1,T,10,184159,6,378294,37284,2,4,0,13909
4,1,P,-1,11509,3,135,135,3,0,1,7261
4,1,P,-2,24320,3,248,248,3,0,1,6495
4,1,P,-3,36364,3,679,679,3,0,1,7223
4,1,T,1,50893,2,85,85,2,0,1,5229
4,1,T,2,60668,2,64,64,2,0,1,3904
4,1,T,3,70123,3,472,482,2,1,0,7879
4,1,T,4,83554,3,815,815,3,0,1,5485
4,1,T,5,95599,4,3417,3417,4,0,1,5642
4,1,T,6,107798,4,6158,618,2,2,0,5729
4,1,T,7,121087,5,52186,52186,5,0,1,6644
4,1,T,8,135293,5,42731,42731,5,0,1,8277
4,1,T,9,152137,6,392487,39472,2,4,0,7452
4,1,T,10,168157,6,378294,3749,2,4,0,8001
5,1,P,-1,12267,3,135,135,3,0,1,13116
5,1,P,-2,30932,3,248,248,3,0,1,10453
5,1,P,-3,46936,3,679,679,3,0,1,7815
5,1,T,1,61616,2,85,85,2,0,1,8484
5,1,T,2,74647,2,64,64,2,0,1,6446
5,1,T,3,86646,3,472,472,3,0,1,7477
5,1,T,4,99677,3,815,815,3,0,1,8912
5,1,T,5,115144,4,3417,3457,3,1,0,9498
5,1,T,6,131201,4,6158,6158,4,0,1,11148
5,1,T,7,149910,5,52186,1426,0,5,0,18287
5,1,T,8,175762,5,42731,2476,1,4,0,13540
6,1,P,-1,20538,3,135,71,0,3,0,12318
6,1,P,-2,38404,3,248,248,3,0,1,7280
6,1,P,-3,51233,3,679,697,1,2,0,7313
6,1,T,1,65392,2,85,85,2,0,1,5830
6,1,T,2,75769,2,64,64,2,0,1,5253
6,1,T,3,86577,3,472,472,3,0,1,5495
6,1,T,4,97624,3,815,815,3,0,1,5090
6,1,T,5,109274,4,3417,3417,4,0,1,6808
6,1,T,6,122642,4,6158,6518,2,2,0,5929
6,1,T,7,136134,5,52186,6148,1,4,0,8243
6,1,T,8,151944,5,42731,47213,1,4,0,7462
7,1,P,-1,12954,3,135,3135,0,4,0,26460
7,1,P,-2,44964,3,248,248,3,0,1,8033
7,1,P,-3,58547,3,679,679,3,0,1,7487
7,1,T,1,73392,2,85,85,2,0,1,5817
7,1,T,2,83759,2,64,64,2,0,1,6993
7,1,T,3,96304,3,472,472,3,0,1,6775
7,1,T,4,108633,3,815,815,3,0,1,6706
7,1,T,5,121898,4,3417,3417,4,0,1,9518
7,1,T,6,137974,4,6158,6158,4,0,1,10377
7,1,T,7,155915,5,52186,52186,5,0,1,14587
7,1,T,8,178063,5,42731,42731,5,0,1,12774
7,1,T,9,199404,6,392487,31287,2,4,0,21832
7,1,T,10,229803,6,378294,32784,1,5,0,12844
8,1,P,-1,11311,3,135,135,3,0,1,13845
8,1,P,-2,30705,3,248,248,3,0,1,9686
8,1,P,-3,45940,3,679,679,3,0,1,10076
8,1,T,1,61946,2,85,85,2,0,1,6840
8,1,T,2,73332,2,64,64,2,0,1,6087
8,1,T,3,84971,3,472,472,3,0,1,9934
8,1,T,4,100463,3,815,815,3,0,1,7990
8,1,T,5,115011,4,3417,3417,4,0,1,17825
8,1,T,6,139393,4,6158,6518,2,2,0,11280
8,1,T,7,158236,5,52186,54286,3,2,0,16379
8,1,T,8,182180,5,42731,4723,2,3,0,30131
10,1,P,-1,27423,3,135,315,1,2,0,10170
10,1,P,-2,43141,3,248,4248,0,4,0,7754
10,1,P,-3,56444,3,679,2,0,3,0,7592
10,1,T,1,76826,2,85,85,2,0,1,7891
10,1,T,2,89265,2,64,64,2,0,1,6766
10,1,T,3,101582,3,472,427,1,2,0,10728
10,1,T,4,117861,3,815,851,1,2,0,7613
11,1,P,-1,20413,3,135,15,1,2,0,16326
11,1,P,-2,42291,3,248,248,3,0,1,26427
11,1,P,-3,74269,3,679,79,0,3,0,17386
11,1,T,1,112386,2,85,85,2,0,1,8347
11,1,T,2,125280,2,64,45,0,2,0,11113
11,1,T,3,141946,3,472,247,0,3,0,10728
11,1,T,4,158224,3,815,851,1,2,0,8151
12,1,P,-1,17575,3,135,135,3,0,1,8031
12,1,P,-2,31157,3,248,2248,1,3,0,7375
12,1,P,-3,44081,3,679,679,3,0,1,6741
12,1,T,1,56586,2,85,85,2,0,1,8347
12,1,T,2,69482,2,64,64,2,0,1,7284
12,1,T,3,82319,3,472,472,3,0,1,7049
12,1,T,4,94923,3,815,815,3,0,1,5908
12,1,T,5,107387,4,3417,3417,4,0,1,8965
12,1,T,6,122911,4,6158,6158,4,0,1,9039
12,1,T,7,139512,5,52186,51286,3,2,0,13055
12,1,T,8,160132,5,42731,427136,3,3,0,16623
13,1,P,-1,10794,3,135,135,3,0,1,8025
