ID,dsp1,dsp2,dsp3,dsp4,dsp5,dsp6,LT1,LT2,LT3,LT4,LT5,LT6,LT7,LT8,LT9,LT10,LT11,LT12,LT13,LT14,LT15,LT16,LT17,LT18,LT19,LT20
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,oroundje,oroundje,okau,not together yet,,,1,1,2,1,1,1,1,1,4,2,2,2,3,1,4,3,3,1,1,1
3,okau,oroundje,okau,"don't stay together in same compound, but he is staying in okau now",oroundje,okau,1,1,1,1,3,3,1,1,1,4,4,4,4,1,4,4,1,1,1,4
4,okau,okau,okau,okau,okau,okau,1,1,1,1,1,4,1,1,1,1,2,4,4,1,4,4,1,1,1,4
5,omunyendi (past ongokua),omunyendi,omunyendi (different compound),omina,ongokwa,omina,1,1,4,1,4,4,1,1,4,4,4,4,4,1,4,4,4,2,1,4
6,okau,otjoya,okau,okau,enyendi,okau,2,3,4,1,4,4,3,1,4,4,4,4,4,2,4,4,4,4,4,4
7,okau,okaorore,okau,okau,otjikondovirondo,okau,1,1,1,1,3,3,1,1,1,2,2,3,4,1,4,4,1,3,1,3
8,enyendi,enyendi,enyendi,okau,okau,okau,1,1,3,1,3,4,1,1,4,4,4,4,4,1,4,4,4,4,1,4
9,otjikuturiro (AKA otjivero) (her uncle's place),omuhonga,okatapati,okatapati,omuhonga,okatapati,1,4,4,1,4,4,1,1,4,4,4,4,4,1,4,4,4,4,1,4
10,enyendi,enyendi,enyendi,okau,okau,okau,1,1,4,1,4,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,okau,okau (north),okau (south),okau (south),okau (south),okau (north),1,1,1,1,2,3,1,1,1,1,2,3,4,1,4,4,1,3,1,1
14,okau,"""angola""",okau,okau,"""angola""",okau,1,1,1,1,2,3,1,1,1,1,1,3,4,1,4,4,1,2,1,3
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,1,1,4,1,1,4,1,1,4,4,4,4,4,2,4,4,4,1,1,4
17,okau,okau,okau,not together now,,,1,1,4,1,3,4,2,1,1,3,3,4,4,2,4,4,1,3,1,3
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
20,otjitanga,otjitanga,otjitanga,ondarere,orieheke,ohayuua,1,3,4,1,4,4,2,1,4,4,4,4,4,1,4,4,4,4,4,4
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,1,1,4,1,4,1,1,1,4,4,4,4,4,2,4,4,4,4,2,4
23,,,,,,,,,,,,,,,,,,,,,,,,,,
24,okau,onongurura,okau,not together,,,1,1,2,2,2,1,1,1,1,3,3,3,2,1,2,3,2,3,1,2
25,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,
27,okau,okau,ombuku,otjihoko,omatapati,omaanda,4,2,4,2,4,4,4,1,2,4,4,4,4,4,4,4,3,4,1,4
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,1,1,3,1,3,4,1,1,4,4,4,4,4,1,4,4,3,4,1,4
30,,,,,,,1,1,2,1,1,3,1,1,1,1,1,4,4,4,1,1,4,4,1,1
31,,,,,,,1,1,4,1,1,4,1,1,4,1,,,,,,,,,,
32,,,,,,,1,1,4,1,4,4,1,2,4,4,2,4,,4,1,4,4,4,4,4
33,,,,,,,1,1,4,1,4,4,1,1,1,4,3,4,,1,4,4,1,4,4,4
34,,,,,,,1,1,4,1,4,4,1,1,1,1,2,4,,4,1,4,1,4,2,4
35,,,,,,,1,1,4,2,4,4,3,1,1,2,3,4,,1,4,4,1,4,1,4
36,,,,,,,1,1,1,1,1,3,1,1,1,1,1,3,,1,1,4,1,4,1,1
37,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,,1,1,4,1,4,1,1
38,,,,,,,1,1,4,1,4,4,1,1,1,1,1,4,,4,1,4,1,4,1,1
39,,,,,,,1,1,1,1,4,4,1,1,1,1,1,4,,4,1,4,1,4,1,4
40,,,,,,,1,1,4,1,4,4,4,1,1,1,1,4,,1,4,4,1,4,1,1
41,,,,,,,1,1,2,1,1,3,3,1,1,1,1,3,,1,2,4,1,4,1,1
42,,,,,,,1,1,4,1,1,1,1,1,1,1,3,4,,1,3,4,4,4,4,4
43,,,,,,,1,1,1,1,2,3,1,1,1,1,1,3,,1,1,4,1,4,1,1
44,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,,1,1,4,1,4,1,1
45,,,,,,,1,1,4,1,2,4,1,1,1,1,1,4,,1,4,4,1,4,2,4
46,,,,,,,1,1,3,1,3,4,1,1,1,1,1,4,,1,4,4,1,4,2,4
47,,,,,,,1,2,1,1,3,4,1,1,1,1,4,4,,1,4,4,1,4,4,1
48,,,,,,,1,2,4,1,1,2,1,1,1,1,1,4,,1,1,4,1,4,1,1
49,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,,1,1,4,1,1,1,1
50,,,,,,,1,1,1,1,1,3,1,1,1,1,1,2,,1,2,4,1,4,1,1
51,,,,,,,4,4,4,1,4,4,4,4,3,4,4,4,,4,4,4,4,4,4,4
52,otjomuru,otjomuru,okotuwondo,otjomuru,otjomuru,okotuwondo,1,1,2,1,4,4,2,1,1,4,4,4,,1,4,2,1,2,1,4
53,okanguati,okanguati (family elsewhere),ohamaremba,okanguati,unknown,ohamaremba,1,1,1,1,1,1,1,1,1,1,1,1,,1,4,1,1,1,1,3
54,okau,okau,okotuwondo,okotuwondo,oheyuva,opuwo,3,3,4,1,4,4,1,3,3,4,4,4,,1,4,4,3,4,1,4
55,,,,,,,1,1,2,3,4,4,4,4,3,3,2,4,,1,4,4,1,4,1,4
56,ohamaremba,ohamaremba,otjikondovirondo,still only girlfriend,,,1,1,1,1,2,2,1,1,1,2,1,3,,1,4,1,1,1,1,4
57,,,,,,,1,3,1,1,4,4,4,3,1,1,1,4,,1,4,2,1,4,3,4
58,many girlfriends and unmarried,,,,,,1,1,1,1,4,4,1,1,1,2,2,4,,1,4,1,1,3,1,4
59,otjomuru,otjomuru,otjomuru,never stayed together,,,1,1,2,1,2,1,1,1,3,4,4,4,,1,4,4,4,3,1,4
60,,,,,,,2,1,4,3,4,4,1,1,4,4,4,4,,2,4,4,3,4,2,4
61,otjomuru,otjomuru,okotuwondo,still only girlfriend,,,1,1,1,1,1,1,1,1,1,2,1,2,,1,4,3,1,2,1,2
62,okau,okotuwondo,okau,okotuwondo,opuwo,oheyuva,1,1,4,1,4,4,1,1,4,4,4,4,,1,4,4,4,4,2,4
63,,,,,,,4,2,4,2,4,4,4,1,4,4,4,4,,1,4,4,4,4,1,4
64,oroundje,oroundje,orotjirindi,never stayed together,,,2,1,4,3,3,4,4,1,4,4,4,4,,1,4,4,4,1,2,4
65,,,,,,,3,3,4,4,4,4,4,3,4,4,4,4,,2,4,3,4,4,3,4
66,otjomuru,oroundje,otjomuru,don't live together in compound (but he is staying at otjomuru now),,,1,1,2,1,2,4,3,1,1,4,4,4,,1,4,1,3,1,1,4
67,,,,,,,1,1,1,1,1,1,1,1,1,3,3,4,,1,4,4,1,4,1,1
68,otjomuru,otjomuru,otjomuru,"don't live together, he left to look for work",,,1,1,2,1,4,4,4,1,4,4,4,4,,1,4,3,4,2,1,4
69,,,,,,,1,2,1,2,4,4,1,4,1,4,4,4,,1,4,3,3,1,2,4
70,,,,,,,1,1,1,1,2,4,1,1,1,2,3,4,,1,4,4,1,4,1,2
71,okau,okau,okau,okau,okau,okau,1,1,4,1,1,4,1,1,4,4,4,4,,1,4,4,4,4,1,4
72,,,,,,,1,1,3,3,4,4,3,1,1,4,4,4,,3,4,4,1,4,1,4
73,,,,,,,1,1,4,1,4,4,1,1,4,2,2,4,,1,4,4,2,4,1,4
74,otjomuru,okau,okotuwondo,okotuwondo,otjomuru,okotuwondo,1,1,1,1,1,1,1,1,1,2,1,2,,1,4,1,1,1,2,2
