place,type,lat,lng
okotuwondo,PoO,-17.40556,13.470221
okau,PoO,-17.3923,13.606783
orue,PoO,-17.439283,13.668533
otjomuru,PoO,-17.4102,13.47085
otjikondovirondo,PoO,-17.402431,13.567664
ondarere,PoO,-17.418725,13.442026
otjitanga,PoO,-17.425283,13.43486
otjomia,PoO,-17.409635,13.483382
epupa,target,-17.0021667,13.2441667
opuwo,target,-18.0539167,13.8326389
orotumba,target,-17.3417778,13.7805833
otjinungua,target,-17.264,12.4427222
okanguati,target,-17.43125,13.2724
otjimuhaka,target,-17.3293611,13.8339722
ongokua,target,-16.656,13.423
ehomba,target,-17.4963889,13.8186389
ruacana,target,-17.434674,14.386568
omangete,target,-17.500971,13.38364
