ID,PoO,epupa,opuwo,orotumba,otjinungua,okanguati,otjimuhaka,ongokua,ehomba,ruacana,omangete
1,okau,,,,,,,,,,
2,okau,,,,,,,,,,
3,okau,,,,,,,,,,
4,okau,,,,,,,,,,
5,okau,,,,,,,,,,
6,okau,,,,,,,,,,
7,okau,,,,,,,,,,
8,okau,,,,,,,,,,
9,okau,306,152,70.5,,265,55,344,110.5,,183.5
10,okau,305,168,135.5,271,273.5,140,11,100,102,243
11,okau,317,191.5,113,272,241.5,71,3.5,94.5,,245
12,okau,305,215,125,276,256,107,9,125,102,226.5
13,okau,291,151,75,,236,86,,124,,
14,okau,,162,85,,237,70,,,,
15,okau,274,163,70,,249,76,,111,,232
16,okau,295,169,91,281.5,253,85,351,,,236
17,okau,290,171,68,264,254,78,,121.5,,231
18,okau,322,169,79.5,,255.5,79,3,101,,170
19,okau,,165,81,,265,83.5,338,,,
20,otjikondovirondo,332,180,93,,275,73,1,98,112,207
21,otjikondovirondo,341,154,87,,266,80,351,120,92,229
22,otjikondovirondo,315,170,70.5,,268,73,353,100.5,,244
23,otjikondovirondo,326.5,168.5,82,,259.5,80,338,116,,242
24,otjikondovirondo,286.5,125,94,,262,83,26,102,,245
25,otjikondovirondo,291,170,83,,265,72,5,112,,248
26,otjikondovirondo,,168,,,255,,,,,
27,okau,314,190.5,92,274,263,98,3,111.5,,232
28,okau,288,191,72.5,,260,85.5,350,115,,234
29,okau,295,226,56,,259,70,,100,,228
30,okau,356,152,91,,234,86,27,113,,208
31,orue,,189,53,,323,48,347,94,,
32,orue,6,179,76,,239,82,3,124,98,189.5
33,orue,331,205,48,,206,42,,67,75,265
34,orue,281,160,88,,256,119,,119,107,230
35,orue,324,170,71,,298,74,,116,,246
36,orue,,169,86,,,81,,113,,
37,orue,,155,70,,,78,,114,,
38,orue,,,,,,,,,,
39,orue,,155,79,,257,86,,116,,214
40,orue,,136,72,,289,60,,91,,
41,orue,,141,92,,214,76,,113.5,,
42,orue,341,152,93,,233,87,28,87,76,193
43,orue,,145,64,,,63,,114,,
44,orue,,143,82,,,80,,112,,
45,orue,,142,91,,245,90,,116,,218
46,orue,,160,72,,280,66,,90,104,256
47,orue,306,166,70,,288,66,,114,105,
48,orue,,150,,,,98,,121,,
49,orue,,157,76,,,115,,,,
