ID,SAB1a,SAB1b,SAB2,SAB3,SAB4,SAX1,SAX2,SAX3,SAX4,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8,HA9,HA10
1,,,,,,,,,,,,,,,,,,,
2,,1,3,3,0,1,2,3,3,1,2,1,1,2,1,1,2,1,2
3,,3,3,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1
4,,2,2,1,1,1,3,2,3,1,2,1,1,1,2,1,1,1,1
5,,3,3,1,1,1,3,1,3,1,2,1,2,1,2,1,2,2,1
6,,2,3,3,2,1,1,1,3,1,2,1,1,2,2,1,2,2,1
7,,1,3,1,2,1,1,1,3,2,2,1,2,2,2,1,2,1,2
8,,3,3,1,4,1,1,1,3,1,2,1,1,2,2,1,2,1,1
9,,3,3,1,1,3,3,3,3,1,2,1,2,2,2,1,2,2,1
10,,2,3,1,1,1,1,3,1,1,2,1,2,2,2,1,2,1,1
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,2,2,1,1,1,3,1,3,1,2,1,2,2,2,1,2,1,2
14,,3,3,3,1,1,1,1,3,1,2,1,2,2,2,1,1,2,2
15,,,,,,,,,,,,,,,,,,,
16,,2,2,3,2,1,3,1,3,1,2,1,1,2,1,1,1,2,2
17,,2,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,3,1,1,1,3,2,3,1,1,1,2,1,2,1,1,2,2,1
21,,,,,,,,,,,,,,,,,,,
22,,1,3,1,2,1,1,3,3,1,2,1,2,2,2,1,1,2,1
23,,,,,,,,,,,,,,,,,,,
24,,2,3,1,1,3,3,3,1,1,2,,2,1,2,2,2,1,1
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,3,3,1,2,1,1,2,3,1,1,2,2,2,2,1,2,1,1
28,,,,,,,,,,,,,,,,,,,
29,,3,1,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,2
