ID,SAB1a,SAB1b,SAB2,SAB3,SAB4,SAX1,SAX2,SAX3,SAX4,HA1.raw,HA2.raw,HA3.raw,HA4.raw,HA5.raw,HA6.raw,HA7.raw,HA8.raw,HA9.raw,HA10.raw,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8,HA9,HA10
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,3,3,1,1,2,3,3,1,2,1,1,2,1,1,2,1,2,0,0,0,1,0,1,0,0,0,1
3,,3,3,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0
4,,2,2,1,1,1,3,2,3,1,2,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,1,0,0
5,,3,3,1,1,1,3,1,3,1,2,1,2,1,2,1,2,2,1,0,0,0,0,1,0,0,0,1,0
6,,2,3,3,2,1,1,1,3,1,2,1,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,0
7,,1,3,1,2,1,1,1,3,2,2,1,2,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,1
8,,3,3,1,4,1,1,1,3,1,2,1,1,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0
9,,3,3,1,1,3,3,3,3,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0
10,,2,3,1,1,1,1,3,1,1,2,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,2,2,1,1,1,3,1,3,1,2,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1
14,,3,3,3,1,1,1,1,3,1,2,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,1,1,1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,2,2,3,2,1,3,1,3,1,2,1,1,2,1,1,1,2,2,0,0,0,1,0,1,0,1,1,1
17,,2,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,3,1,1,1,3,2,3,1,1,1,2,1,2,1,1,2,2,1,0,1,1,1,0,1,0,0,1,0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,1,3,1,2,1,1,3,3,1,2,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,1,1,0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2,3,1,1,3,3,3,1,1,2,,2,1,2,2,2,1,1,0,0,,0,1,0,1,0,0,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,3,3,1,2,1,1,2,3,1,1,2,2,2,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,3,1,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,1,1,1,0,0,0,1
30,,1,3,1,1,1,3,1,3,1,1,1,2,1,2,2,2,1,2,0,1,0,0,1,0,1,0,0,1
31,,,3,1,1,1,2,1,2,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
32,2,,2,1,1,3,3,2,1,1,2,1,1,1,,,,,,0,0,0,1,1,,,,,
33,1,,1,1,1,1,1,2,,1,1,2,2,1,,,,,,0,1,1,0,1,,,,,
34,,,2,1,1,1,,1,1,2,2,1,1,1,,,,,,1,0,0,1,1,,,,,
35,1,,1,1,1,1,1,1,1,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
36,2,,3,1,1,1,1,1,1,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
37,,,3,1,1,1,,1,3,1,2,1,1,2,,,,,,0,0,0,1,0,,,,,
38,,,2,3,3,1,1,1,3,1,2,1,2,2,,,,,,0,0,0,0,0,,,,,
39,,2,2,1,1,1,1,1,3,1,1,2,2,2,,,,,,0,1,1,0,0,,,,,
40,,1,1,1,1,1,1,1,1,1,2,1,2,1,,,,,,0,0,0,0,1,,,,,
41,,3,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,0,1,0,0,1,,,,,
