Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/05/26, 12:13:35, -17.392157, 13.606871, 934.71,  396.00, 176, -2, 0.00, 1
2014/05/26, 12:14:34, -17.392189, 13.606895, 930.00,  0.00, 0, 0, 4.38, 1
2014/05/26, 12:15:11, -17.392056, 13.606770, 929.95,  1440.00, 326, 0, 19.87, 1
2014/05/26, 12:15:46, -17.391953, 13.606784, 932.32,  0.00, 198, 0, 11.55, 1
2014/05/26, 12:16:20, -17.391989, 13.606588, 930.70,  2700.00, 311, 0, 21.18, 1
2014/05/26, 12:16:54, -17.391649, 13.606531, 927.50,  0.00, 7, 0, 38.29, 1
2014/05/26, 12:17:19, -17.391376, 13.606616, 930.68,  0.00, 33, -1, 31.67, 
2014/05/26, 12:17:53, -17.391075, 13.606298, 900.47,  5328.00, 301, 0, 47.53, 1
2014/05/26, 12:18:27, -17.390831, 13.605975, 938.39,  0.00, 290, 0, 43.71, 1
2014/05/26, 12:19:01, -17.390551, 13.605647, 932.37,  0.00, 312, 0, 46.70, 
2014/05/26, 12:19:35, -17.390263, 13.605364, 930.43,  0.00, 311, 0, 43.90, 
2014/05/26, 12:19:50, -17.390249, 13.605297, 933.26,  540.00, 120, -1, 7.28, 
2014/05/26, 12:20:25, -17.390257, 13.605288, 936.76,  0.00, 0, 0, 1.31, 
2014/05/26, 12:20:59, -17.390253, 13.605314, 918.60,  0.00, 0, 0, 2.79, 
2014/05/26, 12:21:33, -17.390280, 13.605282, 942.46,  0.00, 0, 0, 4.53, 
2014/05/26, 12:22:08, -17.390274, 13.605275, 945.67,  0.00, 0, 0, 1.00, 
2014/05/26, 12:22:44, -17.390230, 13.605323, 940.93,  0.00, 0, 0, 7.06, 
2014/05/26, 12:23:18, -17.390240, 13.605294, 931.13,  1404.00, 12, 0, 3.27, 
2014/05/26, 12:24:10, -17.390251, 13.605180, 873.88,  72.00, 237, 0, 12.16, 
2014/05/26, 12:24:45, -17.390251, 13.605322, 932.61,  0.00, 0, 0, 15.07, 
