Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/05/29, 16:05:33, -17.392548, 13.625013, 935.25,  432.00, 154, -2, 0.00, 1
2014/05/29, 16:06:30, -17.392479, 13.624968, 901.89,  504.00, 312, 0, 9.04, 1
2014/05/29, 16:07:06, -17.392477, 13.624978, 892.74,  684.00, 132, 0, 1.08, 1
2014/05/29, 16:07:44, -17.392502, 13.625031, 945.67,  252.00, 327, 0, 6.27, 1
2014/05/29, 16:08:18, -17.392496, 13.624932, 919.78,  756.00, 68, 0, 10.53, 1
2014/05/29, 16:08:55, -17.392466, 13.624942, 905.14,  360.00, 0, 0, 3.50, 1
2014/05/29, 16:09:33, -17.392527, 13.624954, 926.07,  720.00, 4, 0, 6.90, 1
2014/05/29, 16:10:08, -17.392548, 13.624946, 920.39,  252.00, 71, 0, 2.48, 1
2014/05/29, 16:10:42, -17.392546, 13.624990, 948.67,  900.00, 0, 0, 4.67, 1
2014/05/29, 16:11:20, -17.392527, 13.624990, 923.56,  540.00, 340, 0, 2.11, 1
2014/05/29, 16:11:56, -17.392502, 13.624944, 917.00,  0.00, 0, 0, 5.62, 1
2014/05/29, 16:12:30, -17.392639, 13.625034, 950.91,  648.00, 114, 0, 17.98, 1
2014/05/29, 16:13:05, -17.392519, 13.625011, 936.76,  828.00, 0, 0, 13.56, 1
2014/05/29, 16:13:43, -17.392502, 13.624970, 903.67,  1008.00, 187, 0, 4.74, 1
2014/05/29, 16:14:21, -17.392471, 13.624979, 916.34,  468.00, 49, 0, 3.58, 1
2014/05/29, 16:14:55, -17.392485, 13.624963, 911.52,  756.00, 11, 0, 2.30, 1
2014/05/29, 16:15:33, -17.392504, 13.624978, 932.54,  972.00, 136, 0, 2.65, 1
2014/05/29, 16:16:10, -17.392498, 13.624961, 906.85,  1116.00, 159, 0, 1.92, 1
2014/05/29, 16:16:48, -17.392527, 13.624953, 908.87,  432.00, 148, 0, 3.33, 1
2014/05/29, 16:17:24, -17.392572, 13.625045, 946.19,  828.00, 0, 0, 10.97, 1
2014/05/29, 16:17:59, -17.392548, 13.625025, 933.39,  72.00, 0, 0, 3.41, 1
2014/05/29, 16:18:37, -17.392530, 13.624959, 921.15,  180.00, 0, 0, 7.28, 1
2014/05/29, 16:19:12, -17.392555, 13.624996, 944.65,  468.00, 355, 0, 4.81, 1
2014/05/29, 16:19:50, -17.392519, 13.624958, 918.53,  1188.00, 29, 0, 5.68, 1
2014/05/29, 16:20:14, -17.392567, 13.624968, 917.23,  792.00, 0, -1, 5.44, 1
2014/05/29, 16:20:56, -17.392561, 13.624971, 918.31,  828.00, 316, 0, 0.74, 1
2014/05/29, 16:21:31, -17.392530, 13.624934, 934.00,  1260.00, 54, 0, 5.22, 1
2014/05/29, 16:22:12, -17.392647, 13.625038, 935.69,  180.00, 321, 0, 17.06, 1
2014/05/29, 16:22:47, -17.392437, 13.624785, 897.46,  216.00, 335, 0, 35.58, 1
2014/05/29, 16:23:25, -17.392551, 13.624959, 921.46,  576.00, 323, 0, 22.40, 1
2014/05/29, 16:24:08, -17.392502, 13.625100, 961.26,  1368.00, 112, 0, 15.92, 1
2014/05/29, 16:24:47, -17.392515, 13.625011, 930.39,  756.00, 347, 0, 9.55, 1
2014/05/29, 16:25:21, -17.392517, 13.625136, 985.90,  900.00, 6, 0, 13.27, 1
2014/05/29, 16:25:58, -17.392523, 13.625051, 940.89,  1224.00, 333, 0, 9.04, 1
2014/05/29, 16:26:36, -17.392580, 13.625004, 915.40,  288.00, 339, 0, 8.06, 1
2014/05/29, 16:27:12, -17.392599, 13.625003, 934.04,  828.00, 107, 0, 2.12, 1
2014/05/29, 16:27:56, -17.392548, 13.624978, 905.71,  0.00, 328, 0, 6.26, 1
2014/05/29, 16:28:32, -17.392588, 13.624996, 910.34,  0.00, 354, 0, 4.84, 1
2014/05/29, 16:29:12, -17.392517, 13.624967, 931.48,  1512.00, 357, 0, 8.47, 1
2014/05/29, 16:29:51, -17.392550, 13.624787, 914.20,  4860.00, 276, 0, 19.45, 1
2014/05/29, 16:30:27, -17.392582, 13.624454, 930.16,  4464.00, 217, 0, 35.51, 1
2014/05/29, 16:31:04, -17.392664, 13.624190, 951.80,  5076.00, 278, 0, 29.46, 1
2014/05/29, 16:31:39, -17.392710, 13.623668, 924.41,  2556.00, 254, 0, 55.63, 1
2014/05/29, 16:32:15, -17.392744, 13.623276, 921.72,  5220.00, 262, 0, 41.77, 1
2014/05/29, 16:32:50, -17.392891, 13.622880, 930.41,  5112.00, 223, 0, 45.09, 1
2014/05/29, 16:33:26, -17.393009, 13.622870, 928.21,  468.00, 129, 0, 13.16, 1
2014/05/29, 16:34:05, -17.392986, 13.622871, 929.69,  360.00, 56, 0, 2.56, 1
2014/05/29, 16:34:42, -17.392912, 13.622738, 923.58,  3528.00, 324, 0, 16.34, 1
2014/05/29, 16:35:19, -17.392794, 13.622664, 940.00,  3384.00, 338, 0, 15.29, 1
2014/05/29, 16:35:57, -17.392746, 13.622643, 951.59,  720.00, 60, 0, 5.78, 1
2014/05/29, 16:36:34, -17.392691, 13.622683, 972.35,  684.00, 4, 0, 7.44, 1
2014/05/29, 16:37:13, -17.392799, 13.622506, 933.33,  864.00, 273, 0, 22.29, 1
2014/05/29, 16:37:52, -17.392691, 13.622609, 940.89,  2052.00, 241, 0, 16.24, 1
2014/05/29, 16:38:27, -17.392969, 13.622320, 935.45,  4932.00, 245, 0, 43.54, 1
2014/05/29, 16:39:03, -17.393206, 13.622100, 931.01,  3132.00, 222, 0, 35.21, 1
2014/05/29, 16:39:38, -17.393459, 13.621830, 938.08,  3456.00, 223, 0, 40.15, 1
2014/05/29, 16:40:14, -17.393744, 13.621558, 939.90,  4176.00, 226, 0, 42.86, 1
2014/05/29, 16:40:49, -17.394012, 13.621320, 929.96,  4536.00, 195, 0, 39.06, 1
2014/05/29, 16:41:23, -17.394335, 13.621139, 937.57,  648.00, 357, 0, 40.73, 1
2014/05/29, 16:42:03, -17.394562, 13.620993, 932.28,  5112.00, 192, 0, 29.62, 1
2014/05/29, 16:42:46, -17.394974, 13.620789, 923.68,  2736.00, 224, 0, 50.67, 1
2014/05/29, 16:43:24, -17.395317, 13.620644, 937.41,  3204.00, 203, 0, 41.13, 1
2014/05/29, 16:44:03, -17.395525, 13.620444, 927.55,  540.00, 196, 0, 31.39, 1
2014/05/29, 16:44:44, -17.395573, 13.620317, 934.58,  5004.00, 249, 0, 14.49, 1
2014/05/29, 16:45:26, -17.395771, 13.619936, 930.33,  4212.00, 223, 0, 46.03, 1
2014/05/29, 16:46:06, -17.396006, 13.619647, 937.82,  3852.00, 219, 0, 40.29, 1
2014/05/29, 16:46:49, -17.396109, 13.619471, 917.17,  864.00, 222, 0, 21.91, 1
2014/05/29, 16:47:30, -17.396076, 13.619150, 926.99,  1260.00, 269, 0, 34.26, 1
2014/05/29, 16:48:13, -17.396063, 13.618981, 929.68,  864.00, 84, 0, 17.99, 1
2014/05/29, 16:48:51, -17.396204, 13.618762, 938.75,  4104.00, 274, 0, 28.03, 1
2014/05/29, 16:49:31, -17.396156, 13.618799, 941.61,  2952.00, 113, 0, 6.63, 1
2014/05/29, 16:50:07, -17.396454, 13.618734, 935.22,  3528.00, 208, 0, 33.85, 1
2014/05/29, 16:50:47, -17.396645, 13.618835, 933.70,  4320.00, 131, 0, 23.79, 1
2014/05/29, 16:51:28, -17.396877, 13.619217, 942.55,  4068.00, 99, 0, 48.05, 1
2014/05/29, 16:52:06, -17.396935, 13.619666, 934.40,  3564.00, 86, 0, 48.08, 1
2014/05/29, 16:52:47, -17.396803, 13.619876, 913.34,  540.00, 229, 0, 26.68, 1
2014/05/29, 16:53:26, -17.396767, 13.620371, 930.55,  2700.00, 78, 0, 52.68, 1
2014/05/29, 16:54:03, -17.396698, 13.620796, 929.47,  4176.00, 68, 0, 45.74, 1
2014/05/29, 16:54:56, -17.396618, 13.621056, 957.92,  324.00, 77, 0, 28.99, 1
2014/05/29, 16:55:43, -17.396671, 13.620981, 931.38,  864.00, 234, 0, 9.90, 1
