Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/05/26, 15:18:45, -17.390356, 13.604844, 946.72,  504.00, 127, -2, 0.00, 1
2014/05/26, 15:20:03, -17.390356, 13.604844, 946.72,  216.00, 295, 0, 0.00, 1
2014/05/26, 15:21:15, -17.390535, 13.605232, 947.00,  1980.00, 69, 0, 45.73, 1
2014/05/26, 15:21:50, -17.390610, 13.605144, 943.64,  3924.00, 171, 0, 12.52, 1
2014/05/26, 15:22:25, -17.390947, 13.605359, 940.17,  6120.00, 165, 0, 43.87, 1
2014/05/26, 15:23:00, -17.391333, 13.605449, 936.54,  2160.00, 149, 0, 43.97, 1
2014/05/26, 15:23:34, -17.391615, 13.605641, 935.94,  4572.00, 193, 0, 37.39, 1
2014/05/26, 15:24:10, -17.391991, 13.605558, 945.59,  2664.00, 235, 0, 42.73, 1
2014/05/26, 15:24:44, -17.392380, 13.605399, 944.08,  3276.00, 185, 0, 46.43, 1
2014/05/26, 15:25:18, -17.392563, 13.605762, 934.45,  0.00, 96, 0, 43.56, 1
2014/05/26, 15:25:53, -17.392477, 13.606065, 933.31,  3600.00, 51, 0, 33.54, 1
2014/05/26, 15:26:17, -17.392439, 13.606358, 939.32,  3888.00, 354, -1, 31.38, 1
2014/05/26, 15:26:52, -17.392309, 13.606798, 925.39,  1512.00, 346, 0, 48.88, 1
2014/05/26, 15:27:26, -17.392332, 13.606980, 934.43,  3060.00, 116, 0, 19.48, 1
2014/05/26, 15:28:00, -17.392488, 13.607179, 937.28,  2520.00, 161, 0, 27.33, 1
2014/05/26, 15:28:42, -17.392563, 13.607526, 932.91,  1440.00, 246, -4, 37.75, 1
2014/05/26, 15:33:33, -17.392490, 13.607251, 929.58,  0.00, 37, -2, 0.00, 1
2014/05/26, 15:34:08, -17.392551, 13.607209, 941.07,  0.00, 8, -1, 8.12, 1
2014/05/26, 15:34:18, -17.392382, 13.607300, 927.16,  0.00, 355, -1, 21.13, 1
2014/05/26, 15:34:52, -17.392393, 13.607279, 926.21,  468.00, 245, 0, 2.54, 1
2014/05/26, 15:35:27, -17.392366, 13.607278, 925.31,  0.00, 125, 0, 3.00, 1
2014/05/26, 15:36:01, -17.392477, 13.607256, 881.05,  720.00, 130, 0, 12.56, 1
2014/05/26, 15:36:36, -17.392483, 13.607285, 932.44,  0.00, 274, 0, 3.15, 1
2014/05/26, 15:37:10, -17.393082, 13.607468, 943.19,  12708.00, 122, 0, 69.38, 1
2014/05/26, 15:37:46, -17.392677, 13.609070, 928.20,  24696.00, 78, 0, 175.85, 1
2014/05/26, 15:38:21, -17.392805, 13.611071, 927.87,  20232.00, 100, 0, 212.80, 1
2014/05/26, 15:38:55, -17.393044, 13.613076, 924.65,  22356.00, 98, 0, 214.41, 1
2014/05/26, 15:39:30, -17.393576, 13.615183, 928.28,  28872.00, 109, 0, 231.27, 1
2014/05/26, 15:40:05, -17.394558, 13.617720, 941.13,  29520.00, 112, 0, 290.50, 1
2014/05/26, 15:40:39, -17.395447, 13.620256, 943.50,  35028.00, 111, 0, 286.68, 1
2014/05/26, 15:41:14, -17.395315, 13.621887, 933.34,  17136.00, 5, 0, 173.69, 1
2014/05/26, 15:41:49, -17.394266, 13.622456, 923.32,  8424.00, 40, 0, 131.34, 1
2014/05/26, 15:42:24, -17.393959, 13.623064, 930.19,  0.00, 7, 0, 72.99, 1
2014/05/26, 15:42:58, -17.393524, 13.622992, 939.83,  11808.00, 307, 0, 48.97, 1
2014/05/26, 15:43:33, -17.393198, 13.623024, 922.07,  0.00, 345, 0, 36.41, 1
2014/05/26, 15:44:07, -17.393179, 13.622979, 933.74,  0.00, 192, 0, 5.22, 1
2014/05/26, 15:44:41, -17.393047, 13.622916, 935.66,  0.00, 0, 0, 16.13, 1
2014/05/26, 15:45:15, -17.393093, 13.622938, 935.62,  0.00, 0, 0, 5.62, 1
2014/05/26, 15:45:49, -17.393017, 13.622946, 931.11,  0.00, 0, 0, 8.49, 1
2014/05/26, 15:46:23, -17.393024, 13.622925, 933.06,  0.00, 0, 0, 2.36, 1
2014/05/26, 15:46:57, -17.393023, 13.622946, 927.28,  0.00, 0, 0, 2.23, 1
2014/05/26, 15:47:31, -17.393032, 13.622944, 927.81,  0.00, 0, 0, 1.02, 1
2014/05/26, 15:48:05, -17.393024, 13.622939, 924.67,  0.00, 0, 0, 1.04, 1
2014/05/26, 15:48:39, -17.393034, 13.622900, 935.85,  0.00, 0, 0, 4.29, 1
2014/05/26, 15:49:13, -17.393068, 13.622924, 937.15,  0.00, 0, 0, 4.56, 1
2014/05/26, 15:49:47, -17.393017, 13.622952, 930.07,  0.00, 0, 0, 6.40, 1
2014/05/26, 15:50:21, -17.393017, 13.622961, 922.99,  0.00, 0, 0, 0.95, 1
2014/05/26, 15:50:55, -17.392908, 13.623002, 920.64,  0.00, 0, 0, 12.88, 1
2014/05/26, 15:51:29, -17.393002, 13.622933, 933.88,  0.00, 0, 0, 12.76, 1
2014/05/26, 15:52:03, -17.393129, 13.623000, 931.37,  0.00, 147, 0, 15.81, 1
2014/05/26, 15:52:38, -17.393156, 13.623024, 921.27,  0.00, 91, 0, 3.94, 1
2014/05/26, 15:53:12, -17.393129, 13.622979, 929.90,  0.00, 158, 0, 5.64, 1
