Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/06/03, 18:24:09, -17.392530, 13.607442, 986.39,  108.00, 141, -2, 0.00, 1
2014/06/03, 18:24:49, -17.392719, 13.607613, 1077.86,  540.00, 145, 0, 27.77, 1
2014/06/03, 18:25:29, -17.392546, 13.607438, 993.90,  72.00, 0, 0, 26.74, 1
2014/06/03, 18:26:10, -17.392551, 13.607489, 1014.53,  72.00, 176, 0, 5.44, 1
2014/06/03, 18:26:51, -17.392511, 13.607440, 1000.49,  396.00, 123, 0, 6.84, 1
2014/06/03, 18:29:31, -17.392433, 13.607433, 988.82,  540.00, 169, 0, 8.70, 1
2014/06/03, 18:36:22, -17.392269, 13.607282, 923.38,  144.00, 271, 0, 24.28, 1
2014/06/03, 18:37:02, -17.392487, 13.607411, 974.08,  2736.00, 122, 0, 27.84, 1
2014/06/03, 18:38:06, -17.393436, 13.606358, -30.80,  864.00, 329, 0, 153.69, 1
2014/06/03, 18:38:44, -17.392410, 13.607290, 928.19,  756.00, 179, 0, 150.98, 1
2014/06/03, 18:39:18, -17.392431, 13.607269, 927.98,  180.00, 50, 0, 3.23, 1
2014/06/03, 18:39:53, -17.392458, 13.607245, 877.57,  216.00, 178, 0, 3.94, 1
2014/06/03, 18:40:27, -17.392466, 13.607342, 982.06,  1116.00, 13, 0, 10.33, 1
2014/06/03, 18:41:01, -17.392456, 13.607285, 931.81,  720.00, 242, 0, 6.15, 1
2014/06/03, 18:41:35, -17.392355, 13.607221, 920.74,  1044.00, 354, 0, 13.12, 1
2014/06/03, 18:42:10, -17.392271, 13.607215, 931.88,  1008.00, 322, 0, 9.36, 1
2014/06/03, 18:42:46, -17.392332, 13.607274, 948.22,  1332.00, 305, 0, 9.23, 1
2014/06/03, 18:43:21, -17.392340, 13.607235, 949.66,  1260.00, 182, 0, 4.23, 1
2014/06/03, 18:43:57, -17.392452, 13.607270, 953.27,  684.00, 329, 0, 13.00, 1
2014/06/03, 18:44:38, -17.392305, 13.607275, 992.13,  576.00, 231, 0, 16.35, 1
2014/06/03, 18:45:15, -17.392130, 13.607510, 1169.04,  108.00, 131, 0, 31.63, 1
2014/06/03, 18:57:01, -17.392550, 13.607295, 912.42,  504.00, 25, 0, 51.98, 1
2014/06/03, 18:57:38, -17.392521, 13.607251, 903.09,  360.00, 40, 0, 5.67, 1
2014/06/03, 18:58:15, -17.392483, 13.607257, 908.12,  36.00, 310, 0, 4.27, 1
2014/06/03, 19:01:33, -17.392490, 13.607260, 914.75,  1800.00, 0, 0, 0.84, 1
2014/06/03, 19:02:11, -17.392498, 13.607204, 907.80,  288.00, 154, 0, 6.01, 1
2014/06/03, 19:02:52, -17.392389, 13.607196, 906.46,  468.00, 102, 0, 12.15, 1
2014/06/03, 19:05:42, -17.392656, 13.607404, 949.68,  1008.00, 145, 0, 36.99, 1
2014/06/03, 19:06:27, -17.392281, 13.607207, 881.20,  864.00, 176, 0, 46.64, 1
2014/06/03, 19:07:10, -17.392305, 13.607158, 867.50,  288.00, 136, 0, 5.84, 1
2014/06/03, 19:07:55, -17.392378, 13.607128, 834.42,  972.00, 172, 0, 8.72, 1
2014/06/03, 19:09:04, -17.392344, 13.607205, 888.95,  108.00, 12, 0, 9.00, 1
2014/06/03, 19:10:24, -17.392496, 13.607436, 932.69,  180.00, 292, 0, 29.77, 1
2014/06/03, 19:14:49, -17.392393, 13.607319, 934.45,  684.00, 127, 0, 16.89, 1
2014/06/03, 19:15:58, -17.392729, 13.607211, 931.84,  468.00, 11, 0, 39.08, 1
2014/06/03, 19:17:07, -17.392380, 13.607129, 881.71,  468.00, 328, -4, 39.77, 1
2014/06/07, 14:26:02, -17.410151, 13.470909, 993.02,  540.00, 169, -2, 0.00, 1
2014/06/07, 14:26:40, -17.410107, 13.470915, 1002.58,  1548.00, 351, 0, 4.93, 1
2014/06/07, 14:27:13, -17.410118, 13.470918, 1009.51,  540.00, 216, 0, 1.26, 1
2014/06/07, 14:27:30, -17.410099, 13.470982, 1005.93,  1224.00, 292, -1, 7.11, 1
2014/06/07, 14:28:09, -17.410196, 13.470922, 976.86,  0.00, 240, 0, 12.52, 1
2014/06/07, 14:28:43, -17.410189, 13.470950, 968.48,  324.00, 194, 0, 3.07, 1
2014/06/07, 14:29:24, -17.410131, 13.470935, 973.76,  432.00, 147, 0, 6.64, 1
2014/06/07, 14:30:10, -17.410086, 13.471037, 991.10,  1008.00, 46, 0, 11.92, 1
2014/06/07, 14:30:50, -17.410065, 13.470999, 991.49,  756.00, 75, 0, 4.66, 1
2014/06/07, 14:31:31, -17.410080, 13.470989, 981.81,  468.00, 140, 0, 1.98, 1
2014/06/07, 14:34:56, -17.410269, 13.470856, 927.78,  180.00, 124, -1, 25.31, 1
2014/06/07, 14:35:43, -17.410246, 13.470942, 954.55,  144.00, 41, 0, 9.48, 1
2014/06/07, 14:36:33, -17.410149, 13.470947, 970.72,  1584.00, 25, 0, 10.80, 1
2014/06/07, 14:37:31, -17.410145, 13.470992, 986.26,  900.00, 22, 0, 4.80, 1
2014/06/07, 14:48:23, -17.410023, 13.471261, 1040.60,  324.00, 249, 0, 31.60, 1
2014/06/07, 14:49:20, -17.409929, 13.471212, 1057.59,  828.00, 78, 0, 11.67, 1
2014/06/07, 14:51:48, -17.410088, 13.471091, 1016.59,  432.00, 267, 0, 21.85, 1
2014/06/07, 14:52:46, -17.410009, 13.471028, 1025.78,  216.00, 63, 0, 11.04, 1
2014/06/07, 14:55:03, -17.410044, 13.470862, 1008.76,  360.00, 204, 0, 18.04, 1
2014/06/07, 15:22:25, -17.410120, 13.470955, 1002.30,  432.00, 119, 0, 12.99, 1
2014/06/07, 15:23:01, -17.410089, 13.470955, 999.52,  0.00, 10, 0, 3.45, 1
2014/06/07, 15:23:35, -17.410139, 13.470907, 988.15,  0.00, 0, 0, 7.54, 1
2014/06/07, 15:24:10, -17.410074, 13.470931, 988.61,  0.00, 342, 0, 7.66, 1
2014/06/07, 15:24:45, -17.410084, 13.470942, 996.86,  0.00, 0, 0, 1.61, 1
2014/06/07, 15:25:19, -17.410126, 13.470942, 998.40,  216.00, 139, 0, 4.67, 1
2014/06/07, 15:25:52, -17.410164, 13.470883, 988.14,  1548.00, 279, 0, 7.55, 1
2014/06/07, 15:26:28, -17.410091, 13.471036, 1022.79,  0.00, 255, 0, 18.15, 1
2014/06/07, 15:27:04, -17.410110, 13.471025, 1013.38,  0.00, 0, 0, 2.41, 1
2014/06/07, 15:28:15, -17.410088, 13.470989, 1008.84,  324.00, 295, -4, 4.54, 1
2014/06/08, 12:55:34, -17.410109, 13.470881, 989.03,  1728.00, 256, -2, 0.00, 1
2014/06/08, 12:55:50, -17.410198, 13.470763, 990.05,  2304.00, 243, -1, 15.96, 1
2014/06/08, 12:56:32, -17.410204, 13.470831, 983.29,  864.00, 146, 0, 7.25, 1
2014/06/08, 12:57:21, -17.410095, 13.470931, 998.09,  684.00, 265, 0, 16.11, 1
2014/06/08, 12:58:26, -17.410151, 13.470771, 1017.98,  1296.00, 260, 0, 18.08, 1
2014/06/08, 12:59:19, -17.410105, 13.470727, 1049.16,  1008.00, 257, 0, 6.93, 1
2014/06/08, 13:00:23, -17.410091, 13.470944, 985.46,  36.00, 222, 0, 23.08, 1
2014/06/08, 13:01:21, -17.410206, 13.470975, 1037.15,  180.00, 122, -4, 13.20, 1
2014/06/08, 14:31:20, -17.424994, 13.434931, 1003.96,  468.00, 265, -2, 0.00, 1
2014/06/08, 14:32:18, -17.425064, 13.434430, 944.82,  1476.00, 144, 0, 53.72, 1
2014/06/08, 14:33:15, -17.425016, 13.435073, 1018.67,  2664.00, 274, 0, 68.43, 1
2014/06/08, 14:34:21, -17.425104, 13.435131, 1032.76,  1836.00, 167, 0, 11.56, 1
2014/06/08, 14:35:31, -17.425175, 13.435059, 1042.65,  684.00, 286, 0, 10.99, 1
2014/06/08, 14:36:41, -17.425150, 13.435380, 1062.59,  468.00, 119, 0, 34.17, 1
2014/06/08, 14:37:47, -17.424997, 13.435031, 1034.80,  504.00, 284, 0, 40.75, 1
2014/06/08, 14:39:01, -17.425051, 13.435058, 1023.06,  216.00, 83, -1, 6.65, 1
2014/06/08, 14:40:09, -17.425110, 13.435241, 1057.28,  1188.00, 100, 0, 20.49, 1
