Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/07, 09:48:38, -17.392591, 13.625037, 926.05,  540.00, 154, -2, 0.00, 1
2014/07/07, 09:49:12, -17.392601, 13.624938, 938.89,  612.00, 79, 0, 10.56, 1
2014/07/07, 09:49:47, -17.392494, 13.624898, 945.96,  288.00, 220, 0, 12.63, 1
2014/07/07, 09:50:23, -17.392641, 13.624902, 910.04,  0.00, 14, -1, 16.35, 1
2014/07/07, 09:50:59, -17.392614, 13.624830, 930.43,  2196.00, 192, 0, 8.21, 1
2014/07/07, 09:51:36, -17.392536, 13.624903, 973.40,  1368.00, 168, 0, 11.63, 1
2014/07/07, 09:52:16, -17.392536, 13.625083, 970.09,  0.00, 106, 0, 19.10, 1
2014/07/07, 09:52:51, -17.392597, 13.624808, 929.26,  0.00, 302, 0, 29.96, 1
2014/07/07, 09:53:26, -17.392527, 13.624779, 949.47,  3024.00, 214, 0, 8.37, 1
2014/07/07, 09:54:04, -17.392363, 13.624943, 910.55,  0.00, 272, 0, 25.21, 1
2014/07/07, 09:54:39, -17.392464, 13.624887, 933.25,  0.00, 79, 0, 12.71, 1
2014/07/07, 09:55:17, -17.392452, 13.624893, 924.76,  2448.00, 335, 0, 1.48, 1
2014/07/07, 09:56:13, -17.392599, 13.624799, 922.67,  7020.00, 220, 0, 19.15, 1
2014/07/07, 09:56:48, -17.392485, 13.624958, 1003.89,  1980.00, 338, 0, 21.10, 1
2014/07/07, 09:57:23, -17.392490, 13.624926, 985.05,  3240.00, 299, 0, 3.44, 1
2014/07/07, 09:58:01, -17.392391, 13.624848, 964.90,  5580.00, 18, 0, 13.77, 1
2014/07/07, 09:58:38, -17.392338, 13.624863, 1005.10,  3996.00, 144, 0, 6.10, 1
2014/07/07, 09:59:32, -17.392517, 13.624908, 941.62,  3348.00, 344, 0, 20.47, 1
2014/07/07, 10:00:10, -17.392591, 13.624889, 950.11,  0.00, 308, 0, 8.47, 1
2014/07/07, 10:01:06, -17.392647, 13.624928, 1005.92,  396.00, 172, 0, 7.48, 1
2014/07/07, 10:01:43, -17.392502, 13.624908, 948.60,  0.00, 235, 0, 16.26, 1
2014/07/07, 10:02:19, -17.392509, 13.624926, 940.74,  0.00, 188, 0, 2.06, 1
2014/07/07, 10:02:56, -17.392572, 13.624904, 957.71,  0.00, 123, 0, 7.38, 1
2014/07/07, 10:03:36, -17.392519, 13.624897, 934.14,  1260.00, 71, 0, 5.94, 1
2014/07/07, 10:04:15, -17.392582, 13.624882, 947.60,  936.00, 199, 0, 7.18, 1
2014/07/07, 10:04:57, -17.392725, 13.624891, 959.85,  900.00, 301, 0, 15.93, 1
2014/07/07, 10:05:37, -17.392529, 13.624952, 933.90,  0.00, 0, 0, 22.74, 1
2014/07/07, 10:06:13, -17.392580, 13.624875, 892.78,  1764.00, 301, 0, 9.95, 1
2014/07/07, 10:06:48, -17.392530, 13.624929, 918.56,  1836.00, 77, 0, 7.98, 1
2014/07/07, 10:07:24, -17.392607, 13.624903, 914.89,  2484.00, 122, 0, 9.00, 1
2014/07/07, 10:08:00, -17.392603, 13.624859, 939.84,  0.00, 299, 0, 4.69, 1
2014/07/07, 10:09:01, -17.392517, 13.624887, 930.39,  1548.00, 129, 0, 10.01, 1
2014/07/07, 10:09:37, -17.392607, 13.624840, 910.58,  0.00, 169, 0, 11.18, 1
2014/07/07, 10:10:13, -17.392555, 13.624788, 922.53,  0.00, 111, 0, 7.99, 1
2014/07/07, 10:10:54, -17.392551, 13.624843, 925.26,  0.00, 247, 0, 5.85, 1
2014/07/07, 10:11:30, -17.392612, 13.624897, 929.54,  216.00, 133, 0, 8.88, 1
2014/07/07, 10:12:04, -17.392603, 13.624885, 934.57,  1656.00, 115, 0, 1.62, 1
2014/07/07, 10:12:40, -17.392595, 13.624891, 933.28,  0.00, 127, 0, 1.09, 1
2014/07/07, 10:13:18, -17.392601, 13.624904, 934.90,  0.00, 142, 0, 1.53, 1
2014/07/07, 10:13:55, -17.392588, 13.624894, 928.20,  0.00, 241, 0, 1.79, 1
2014/07/07, 10:14:34, -17.392601, 13.624930, 944.98,  432.00, 119, 0, 4.08, 1
2014/07/07, 10:16:58, -17.392586, 13.624917, 919.53,  0.00, 310, 0, 2.16, 1
2014/07/07, 10:17:33, -17.392590, 13.624881, 900.84,  684.00, 255, 0, 3.85, 1
2014/07/07, 10:18:10, -17.392584, 13.624857, 911.19,  0.00, 127, 0, 2.63, 1
2014/07/07, 10:24:25, -17.392620, 13.624925, 927.95,  0.00, 143, 0, 8.25, 1
2014/07/07, 10:25:00, -17.392599, 13.624847, 934.06,  0.00, 284, 0, 8.60, 1
2014/07/07, 10:25:35, -17.392630, 13.624928, 952.99,  0.00, 294, 0, 9.26, 1
2014/07/07, 10:26:11, -17.392574, 13.624930, 942.88,  540.00, 96, 0, 6.23, 1
