Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/22, 17:48:27, -17.413536, 13.444051, 1006.58,  3528.00, 201, -2, 0.00, 1
2014/07/22, 17:49:41, -17.413931, 13.443883, 1018.11,  0.00, 281, 0, 47.40, 1
2014/07/22, 17:50:16, -17.414169, 13.443646, 1021.45,  0.00, 214, 0, 36.51, 1
2014/07/22, 17:50:52, -17.414381, 13.443391, 1013.82,  0.00, 201, 0, 35.88, 1
2014/07/22, 17:51:27, -17.414541, 13.443194, 1006.31,  0.00, 232, 0, 27.45, 1
2014/07/22, 17:52:02, -17.414888, 13.442981, 1009.59,  0.00, 197, 0, 44.72, 1
2014/07/22, 17:52:36, -17.415226, 13.442795, 1009.51,  6084.00, 194, 0, 42.45, 1
2014/07/22, 17:53:10, -17.415518, 13.442718, 1012.14,  0.00, 201, 0, 33.48, 1
2014/07/22, 17:53:44, -17.415798, 13.442562, 1000.60,  0.00, 220, 0, 35.26, 1
2014/07/22, 17:54:19, -17.416065, 13.442408, 994.22,  0.00, 216, 0, 33.89, 1
2014/07/22, 17:54:53, -17.416346, 13.442101, 1014.46,  0.00, 262, 0, 45.14, 1
2014/07/22, 17:55:28, -17.416536, 13.441822, 1025.35,  0.00, 288, 0, 36.37, 1
2014/07/22, 17:56:03, -17.416735, 13.441538, 1021.98,  0.00, 334, 0, 37.38, 1
2014/07/22, 17:56:42, -17.416855, 13.441266, 999.38,  3384.00, 234, 0, 31.79, 1
2014/07/22, 17:57:17, -17.417192, 13.441100, 1008.65,  0.00, 215, 0, 41.41, 1
2014/07/22, 17:57:52, -17.417473, 13.440879, 1016.42,  0.00, 237, 0, 39.07, 1
2014/07/22, 17:58:27, -17.417435, 13.440933, 1031.05,  684.00, 0, 0, 7.12, 1
2014/07/22, 17:59:02, -17.417437, 13.440833, 1001.41,  0.00, 212, 0, 10.61, 1
2014/07/22, 17:59:36, -17.417604, 13.440523, 1004.79,  0.00, 210, 0, 37.77, 1
2014/07/22, 18:00:11, -17.417719, 13.440274, 1002.13,  1512.00, 128, 0, 29.35, 1
2014/07/22, 18:00:59, -17.417341, 13.439969, 1006.94,  0.00, 344, 0, 53.05, 1
2014/07/22, 18:01:40, -17.416992, 13.439769, 1017.89,  5652.00, 349, 0, 44.23, 1
2014/07/22, 18:02:19, -17.416632, 13.439653, 1020.17,  2664.00, 9, 0, 41.88, 1
2014/07/22, 18:02:59, -17.416281, 13.439523, 1012.39,  4212.00, 350, 0, 41.39, 1
2014/07/22, 18:03:40, -17.415819, 13.439237, 1014.56,  1080.00, 109, 0, 59.66, 1
2014/07/22, 18:04:18, -17.415701, 13.439137, 1014.12,  3492.00, 285, 0, 16.87, 1
2014/07/22, 18:04:55, -17.415579, 13.438836, 1018.96,  2988.00, 305, 0, 34.70, 1
2014/07/22, 18:05:37, -17.415640, 13.438735, 1038.18,  0.00, 108, 0, 12.68, 1
2014/07/22, 18:06:16, -17.415491, 13.438719, 1030.20,  1728.00, 341, 0, 16.65, 1
2014/07/22, 18:06:51, -17.415634, 13.438742, 1011.33,  0.00, 314, 0, 16.09, 1
2014/07/22, 18:07:26, -17.415762, 13.438437, 1005.28,  0.00, 249, 0, 35.35, 1
2014/07/22, 18:08:00, -17.416058, 13.438191, 1003.72,  4824.00, 219, 0, 42.01, 1
2014/07/22, 18:08:34, -17.416426, 13.438014, 1007.09,  0.00, 200, 0, 45.02, 1
2014/07/22, 18:09:07, -17.416758, 13.437873, 997.25,  2268.00, 213, 0, 39.83, 1
2014/07/22, 18:09:41, -17.417110, 13.437682, 1002.68,  0.00, 200, 0, 44.08, 1
2014/07/22, 18:10:14, -17.417461, 13.437539, 1006.96,  0.00, 203, 0, 41.87, 1
2014/07/22, 18:10:48, -17.417744, 13.437392, 995.94,  5076.00, 204, 0, 35.12, 1
2014/07/22, 18:11:22, -17.417934, 13.437280, 1001.00,  3276.00, 236, 0, 24.24, 1
2014/07/22, 18:11:56, -17.418304, 13.437123, 1008.56,  5760.00, 194, 0, 44.39, 1
2014/07/22, 18:12:30, -17.418526, 13.436879, 1002.96,  3348.00, 251, 0, 35.77, 1
2014/07/22, 18:13:04, -17.418804, 13.436619, 1006.22,  3852.00, 219, 0, 41.43, 1
2014/07/22, 18:13:38, -17.419096, 13.436346, 1004.02,  4644.00, 254, 0, 43.51, 1
2014/07/22, 18:14:12, -17.419231, 13.436178, 995.60,  4788.00, 233, 0, 23.30, 1
2014/07/22, 18:14:46, -17.419603, 13.436019, 1011.89,  2772.00, 225, 0, 44.67, 1
2014/07/22, 18:15:20, -17.419796, 13.435937, 1017.49,  2700.00, 199, 0, 23.16, 1
2014/07/22, 18:15:54, -17.420118, 13.435798, 1007.08,  2556.00, 281, 0, 38.72, 1
2014/07/22, 18:16:28, -17.420364, 13.435790, 1041.11,  1836.00, 200, 0, 27.37, 1
2014/07/22, 18:17:02, -17.420502, 13.435599, 1012.21,  1584.00, 196, 0, 25.42, 1
2014/07/22, 18:17:35, -17.420721, 13.435451, 1012.13,  0.00, 212, 0, 28.98, 1
2014/07/22, 18:18:09, -17.420948, 13.435229, 1010.26,  3960.00, 292, 0, 34.52, 1
2014/07/22, 18:18:43, -17.421215, 13.434940, 1008.29,  5256.00, 236, 0, 42.68, 1
2014/07/22, 18:19:17, -17.421406, 13.434608, 1008.52,  4608.00, 213, 0, 41.13, 1
2014/07/22, 18:19:51, -17.421770, 13.434263, 1026.75,  4320.00, 285, 0, 54.57, 1
2014/07/22, 18:20:25, -17.421846, 13.433939, 1013.83,  2232.00, 318, 0, 35.40, 1
2014/07/22, 18:20:59, -17.422001, 13.433719, 1007.03,  1008.00, 228, 0, 29.01, 1
2014/07/22, 18:21:34, -17.422060, 13.433648, 1008.70,  72.00, 143, -1, 9.99, 1
2014/07/22, 18:22:09, -17.422070, 13.433615, 1015.40,  1152.00, 0, 0, 3.67, 1
2014/07/22, 18:22:48, -17.422115, 13.433734, 1021.18,  504.00, 244, 0, 13.58, 1
2014/07/22, 18:23:23, -17.422112, 13.433653, 1004.77,  396.00, 222, 0, 8.60, 1
2014/07/22, 18:23:59, -17.422138, 13.433720, 1012.48,  0.00, 0, 0, 7.67, 1
