Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/05/29, 16:06:33, -17.392471, 13.625008, 930.90,  1872.00, 11, -2, 0.00, 1
2014/05/29, 16:08:23, -17.392771, 13.625052, 934.38,  0.00, 184, 0, 33.68, 1
2014/05/29, 16:08:58, -17.392570, 13.625019, 923.17,  0.00, 341, 0, 22.62, 
2014/05/29, 16:09:32, -17.392908, 13.624944, 837.42,  4320.00, 359, 0, 38.42, 
2014/05/29, 16:10:06, -17.392553, 13.625062, 917.78,  0.00, 181, 0, 41.41, 
2014/05/29, 16:10:40, -17.392572, 13.625178, 953.19,  1692.00, 315, 0, 12.49, 
2014/05/29, 16:11:15, -17.392742, 13.625071, 936.58,  1260.00, 333, 0, 22.05, 
2014/05/29, 16:11:50, -17.392269, 13.624958, 916.22,  3024.00, 173, 0, 53.94, 
2014/05/29, 16:12:29, -17.392544, 13.624890, 892.89,  540.00, 285, 0, 31.42, 
2014/05/29, 16:13:04, -17.392662, 13.625059, 916.86,  1404.00, 353, 0, 22.22, 
2014/05/29, 16:13:42, -17.392687, 13.624943, 909.68,  0.00, 322, 0, 12.62, 
2014/05/29, 16:14:17, -17.392607, 13.625007, 927.90,  432.00, 4, 0, 11.19, 1
2014/05/29, 16:14:52, -17.392469, 13.625020, 920.65,  0.00, 43, 0, 15.41, 1
2014/05/29, 16:15:27, -17.392401, 13.625021, 924.74,  396.00, 41, 0, 7.56, 
2014/05/29, 16:16:02, -17.392254, 13.625056, 935.05,  828.00, 346, 0, 16.76, 
2014/05/29, 16:16:37, -17.392529, 13.625076, 919.36,  0.00, 0, 0, 30.65, 
2014/05/29, 16:17:14, -17.392487, 13.625088, 904.66,  0.00, 230, 0, 4.84, 
2014/05/29, 16:17:49, -17.392666, 13.625070, 921.40,  0.00, 6, 0, 20.00, 
2014/05/29, 16:18:24, -17.392584, 13.625061, 919.12,  180.00, 159, 0, 9.17, 
2014/05/29, 16:18:59, -17.392529, 13.625034, 911.38,  0.00, 0, 0, 6.75, 
2014/05/29, 16:19:34, -17.393078, 13.624908, 824.24,  1188.00, 246, 0, 62.49, 
2014/05/29, 16:20:12, -17.392792, 13.624996, 891.78,  252.00, 335, 0, 33.14, 
2014/05/29, 16:20:48, -17.392502, 13.625013, 932.56,  504.00, 344, 0, 32.30, 
2014/05/29, 16:21:24, -17.392536, 13.625035, 931.86,  6156.00, 355, 0, 4.44, 
2014/05/29, 16:22:10, -17.392487, 13.625009, 915.54,  1368.00, 358, 0, 6.11, 
2014/05/29, 16:22:51, -17.392918, 13.625108, 931.15,  0.00, 169, 0, 49.06, 
