Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/05, 16:18:09, -17.392181, 13.606813, 932.74,  252.00, 227, -2, 0.00, 1
2014/07/05, 16:19:43, -17.392181, 13.606813, 932.74,  1044.00, 43, 0, 0.00, 1
2014/07/05, 16:21:18, -17.392174, 13.606771, 923.55,  1008.00, 0, 0, 4.52, 1
2014/07/05, 16:22:08, -17.392330, 13.606870, 944.79,  1008.00, 348, 0, 20.28, 1
2014/07/05, 16:23:30, -17.392090, 13.606954, 933.91,  1476.00, 262, 0, 28.14, 1
2014/07/05, 16:24:44, -17.392170, 13.606829, 941.06,  3060.00, 355, 0, 15.97, 1
2014/07/05, 16:26:02, -17.392141, 13.606748, 845.61,  684.00, 174, 0, 9.18, 1
2014/07/05, 16:30:00, -17.392218, 13.606837, 915.65,  0.00, 142, 0, 12.75, 
2014/07/05, 16:30:35, -17.392475, 13.606614, 916.99,  1368.00, 231, 0, 37.10, 1
2014/07/05, 16:31:11, -17.392544, 13.606422, 925.99,  0.00, 226, 0, 21.77, 1
2014/07/05, 16:31:23, -17.392721, 13.606345, 943.55,  0.00, 202, -1, 21.31, 1
2014/07/05, 16:32:00, -17.393122, 13.606090, 902.10,  3672.00, 241, 0, 52.16, 1
2014/07/05, 16:32:37, -17.393274, 13.605867, 918.30,  3384.00, 224, 0, 29.08, 1
2014/07/05, 16:33:12, -17.393581, 13.605646, 926.37,  1836.00, 217, 0, 41.42, 1
2014/07/05, 16:33:47, -17.393858, 13.605642, 933.78,  1044.00, 111, 0, 30.80, 1
2014/07/05, 16:34:23, -17.393789, 13.605784, 943.35,  540.00, 239, 0, 16.91, 1
2014/07/05, 16:35:00, -17.393753, 13.605735, 927.34,  1008.00, 0, 0, 6.56, 1
2014/07/05, 16:35:34, -17.393713, 13.605793, 957.85,  4464.00, 299, 0, 7.59, 1
2014/07/05, 16:36:09, -17.393847, 13.605676, 930.44,  0.00, 0, 0, 19.39, 1
2014/07/05, 16:36:44, -17.393896, 13.605682, 935.02,  0.00, 0, 0, 5.49, 1
2014/07/05, 16:37:21, -17.393753, 13.605699, 922.24,  0.00, 0, 0, 16.00, 1
2014/07/05, 16:37:57, -17.393932, 13.605516, 934.80,  0.00, 197, 0, 27.81, 1
2014/07/05, 16:38:32, -17.394176, 13.605207, 929.43,  0.00, 255, 0, 42.56, 1
2014/07/05, 16:39:07, -17.394140, 13.604792, 954.11,  0.00, 310, 0, 44.22, 1
2014/07/05, 16:39:42, -17.394173, 13.604394, 935.04,  0.00, 272, 0, 42.39, 1
2014/07/05, 16:40:16, -17.394243, 13.604076, 925.63,  3060.00, 258, 0, 34.63, 1
2014/07/05, 16:40:51, -17.394276, 13.603839, 928.08,  0.00, 267, 0, 25.41, 1
2014/07/05, 16:41:28, -17.394293, 13.603442, 920.06,  3204.00, 263, 0, 42.17, 1
2014/07/05, 16:42:03, -17.394377, 13.603094, 921.85,  0.00, 239, 0, 38.09, 1
2014/07/05, 16:42:38, -17.394291, 13.602724, 920.08,  6156.00, 265, 0, 40.41, 1
2014/07/05, 16:43:14, -17.394228, 13.602290, 930.88,  0.00, 281, 0, 46.58, 1
2014/07/05, 16:43:49, -17.394341, 13.601885, 922.55,  0.00, 256, 0, 44.77, 1
2014/07/05, 16:44:24, -17.394449, 13.601463, 931.79,  0.00, 239, 0, 46.36, 1
2014/07/05, 16:44:59, -17.394541, 13.601001, 943.24,  4284.00, 233, 0, 50.08, 1
2014/07/05, 16:45:34, -17.394537, 13.600658, 919.90,  0.00, 283, 0, 36.40, 1
2014/07/05, 16:46:08, -17.394646, 13.600311, 913.08,  4176.00, 241, 0, 38.76, 1
2014/07/05, 16:46:44, -17.394775, 13.599931, 921.03,  0.00, 272, 0, 42.80, 1
2014/07/05, 16:47:20, -17.394794, 13.599485, 922.12,  0.00, 290, 0, 47.37, 1
2014/07/05, 16:47:55, -17.394770, 13.599077, 918.27,  0.00, 259, 0, 43.37, 1
2014/07/05, 16:48:30, -17.394819, 13.598595, 924.12,  0.00, 297, 0, 51.43, 1
2014/07/05, 16:49:06, -17.394831, 13.598194, 926.68,  5004.00, 248, 0, 42.57, 1
2014/07/05, 16:49:41, -17.395054, 13.597692, 906.91,  0.00, 254, 0, 58.76, 1
2014/07/05, 16:50:16, -17.395121, 13.597307, 927.79,  0.00, 245, 0, 41.53, 1
2014/07/05, 16:50:51, -17.395262, 13.596838, 922.16,  5436.00, 255, 0, 52.18, 1
2014/07/05, 16:51:25, -17.395266, 13.596404, 926.03,  5400.00, 249, 0, 46.05, 1
2014/07/05, 16:52:01, -17.395218, 13.595865, 930.42,  3384.00, 264, 0, 57.44, 1
2014/07/05, 16:52:36, -17.395178, 13.595419, 940.80,  0.00, 269, 0, 47.53, 1
2014/07/05, 16:53:11, -17.395193, 13.594971, 936.93,  6300.00, 244, 0, 47.57, 1
2014/07/05, 16:53:45, -17.395149, 13.594440, 918.46,  3564.00, 263, 0, 56.56, 1
2014/07/05, 16:54:19, -17.395187, 13.594019, 924.27,  5040.00, 249, 0, 44.87, 1
2014/07/05, 16:54:54, -17.395250, 13.593453, 949.57,  5796.00, 245, 0, 60.47, 1
2014/07/05, 16:55:28, -17.395370, 13.593089, 930.66,  5544.00, 237, 0, 40.86, 1
2014/07/05, 16:56:03, -17.395504, 13.592640, 931.95,  4140.00, 240, 0, 49.92, 1
2014/07/05, 16:56:37, -17.395702, 13.592195, 932.85,  5760.00, 246, 0, 52.10, 1
2014/07/05, 16:57:13, -17.395962, 13.591747, 940.58,  5544.00, 235, 0, 55.64, 1
2014/07/05, 16:57:48, -17.396082, 13.591355, 940.38,  7812.00, 223, 0, 43.68, 1
2014/07/05, 16:58:23, -17.396248, 13.590852, 940.17,  6552.00, 240, 0, 56.47, 1
2014/07/05, 16:58:58, -17.396486, 13.590427, 939.48,  3528.00, 235, 0, 52.29, 1
2014/07/05, 16:59:33, -17.396696, 13.589933, 946.77,  5472.00, 207, 0, 57.38, 1
2014/07/05, 17:00:08, -17.396933, 13.589556, 952.40,  5760.00, 234, 0, 47.90, 1
2014/07/05, 17:00:43, -17.397228, 13.589138, 955.50,  5364.00, 235, 0, 55.17, 1
2014/07/05, 17:01:19, -17.397446, 13.588828, 944.96,  5652.00, 224, 0, 40.86, 1
2014/07/05, 17:01:54, -17.397741, 13.588398, 942.85,  6120.00, 221, 0, 56.19, 1
2014/07/05, 17:02:29, -17.397984, 13.587954, 942.80,  5040.00, 240, 0, 54.31, 1
2014/07/05, 17:03:05, -17.398275, 13.587521, 946.69,  2232.00, 234, 0, 56.20, 1
2014/07/05, 17:03:40, -17.398443, 13.587160, 918.58,  4824.00, 227, 0, 42.62, 1
2014/07/05, 17:04:15, -17.398703, 13.586680, 940.59,  9540.00, 234, 0, 58.56, 1
2014/07/05, 17:04:51, -17.399061, 13.586108, 928.33,  6408.00, 238, 0, 72.58, 1
2014/07/05, 17:05:26, -17.399265, 13.585744, 941.63,  3672.00, 239, 0, 44.79, 1
2014/07/05, 17:06:01, -17.399538, 13.585316, 940.23,  4968.00, 241, 0, 54.63, 1
2014/07/05, 17:06:37, -17.399666, 13.585158, 937.17,  3060.00, 182, 0, 21.99, 1
2014/07/05, 17:07:13, -17.399939, 13.584730, 948.44,  3204.00, 224, 0, 54.63, 1
2014/07/05, 17:07:48, -17.400372, 13.584591, 947.25,  0.00, 194, 0, 50.36, 1
2014/07/05, 17:08:23, -17.400738, 13.584532, 949.51,  0.00, 314, 0, 41.18, 1
2014/07/05, 17:08:59, -17.400702, 13.584543, 928.70,  180.00, 258, -4, 4.17, 1
2014/07/06, 07:56:56, -17.403971, 13.586838, 1895.54,  468.00, 349, -2, 0.00, 1
2014/07/06, 07:58:02, -17.404013, 13.586881, 1890.86,  6444.00, 245, 0, 6.53, 1
2014/07/06, 07:59:22, -17.400585, 13.584305, 870.45,  1476.00, 286, 0, 469.04, 
2014/07/06, 08:00:33, -17.406614, 13.588958, 2586.50,  936.00, 217, 0, 832.57, 
2014/07/06, 08:01:51, -17.408216, 13.590186, 2916.15,  648.00, 115, 0, 220.70, 
2014/07/06, 08:03:05, -17.403305, 13.586400, 1590.90,  1692.00, 65, 0, 677.92, 
2014/07/06, 08:04:24, -17.409500, 13.591165, 3127.56,  1908.00, 126, 0, 854.48, 
2014/07/06, 08:05:45, -17.403809, 13.586993, 1675.90,  1764.00, 135, 0, 772.27, 
2014/07/06, 08:07:12, -17.400568, 13.584242, 873.12,  1116.00, 159, 0, 463.77, 
2014/07/06, 08:08:32, -17.400888, 13.584514, 928.82,  1044.00, 277, 0, 45.82, 1
2014/07/06, 08:09:27, -17.400892, 13.584435, 934.44,  576.00, 45, 0, 8.39, 1
2014/07/06, 08:10:00, -17.400885, 13.584422, 949.45,  36.00, 296, 0, 1.58, 
2014/07/06, 08:10:35, -17.400833, 13.584391, 952.55,  0.00, 95, 0, 6.65, 
2014/07/06, 08:11:14, -17.400890, 13.584515, 941.69,  1008.00, 247, 0, 14.60, 
2014/07/06, 08:11:50, -17.400835, 13.584703, 914.99,  4680.00, 84, 0, 20.86, 
2014/07/06, 08:12:23, -17.400887, 13.584559, 941.52,  432.00, 256, 0, 16.34, 
2014/07/06, 08:12:55, -17.400917, 13.584496, 920.86,  180.00, 39, 0, 7.47, 
2014/07/06, 08:13:29, -17.400816, 13.584442, 947.56,  0.00, 113, 0, 12.61, 
2014/07/06, 08:14:02, -17.400925, 13.584546, 935.99,  0.00, 0, 0, 16.39, 
2014/07/06, 08:14:35, -17.400917, 13.584494, 938.08,  324.00, 0, 0, 5.59, 
2014/07/06, 08:15:09, -17.400862, 13.584435, 945.43,  0.00, 0, 0, 8.75, 
2014/07/06, 08:15:43, -17.400894, 13.584520, 931.46,  0.00, 106, 0, 9.70, 
2014/07/06, 08:16:17, -17.400909, 13.584541, 920.33,  720.00, 18, 0, 2.78, 
2014/07/06, 08:16:51, -17.400883, 13.584483, 937.33,  0.00, 310, 0, 6.80, 
2014/07/06, 08:17:24, -17.400902, 13.584554, 917.80,  468.00, 61, 0, 7.82, 
2014/07/06, 08:17:58, -17.400900, 13.584521, 926.92,  540.00, 238, 0, 3.51, 
2014/07/06, 08:18:34, -17.400892, 13.584483, 934.65,  0.00, 115, 0, 4.13, 
2014/07/06, 08:19:08, -17.400904, 13.584527, 921.42,  0.00, 0, 0, 4.86, 
2014/07/06, 08:19:43, -17.400921, 13.584512, 921.23,  0.00, 0, 0, 2.47, 
2014/07/06, 08:20:17, -17.400860, 13.584459, 940.53,  0.00, 154, 0, 8.81, 
2014/07/06, 08:20:51, -17.400917, 13.584526, 922.05,  0.00, 176, 0, 9.52, 
2014/07/06, 08:21:25, -17.400906, 13.584449, 931.99,  0.00, 0, 0, 8.26, 
2014/07/06, 08:21:59, -17.400917, 13.584436, 931.12,  0.00, 165, 0, 1.84, 
2014/07/06, 08:22:33, -17.400900, 13.584494, 932.27,  0.00, 0, 0, 6.44, 
2014/07/06, 08:23:07, -17.400885, 13.584458, 936.08,  0.00, 0, 0, 4.17, 
2014/07/06, 08:23:41, -17.400908, 13.584512, 927.83,  144.00, 0, 0, 6.27, 
2014/07/06, 08:24:15, -17.400875, 13.584490, 941.16,  0.00, 0, 0, 4.35, 
2014/07/06, 08:24:49, -17.400898, 13.584437, 939.81,  0.00, 349, 0, 6.18, 
2014/07/06, 08:25:22, -17.400862, 13.584499, 932.88,  504.00, 122, 0, 7.70, 
2014/07/06, 08:25:57, -17.400885, 13.584541, 945.97,  252.00, 305, 0, 5.14, 
2014/07/06, 08:26:31, -17.400888, 13.584546, 935.99,  0.00, 86, 0, 0.63, 
2014/07/06, 08:27:05, -17.400898, 13.584471, 943.35,  324.00, 22, 0, 8.04, 
2014/07/06, 08:27:40, -17.400887, 13.584515, 936.28,  0.00, 0, 0, 4.83, 
2014/07/06, 08:28:14, -17.400827, 13.584481, 934.66,  0.00, 271, 0, 7.58, 
2014/07/06, 08:28:48, -17.400866, 13.584484, 925.19,  0.00, 52, 0, 4.35, 
2014/07/06, 08:29:22, -17.400829, 13.584517, 922.46,  252.00, 16, 0, 5.40, 
2014/07/06, 08:29:57, -17.400887, 13.584470, 937.94,  0.00, 11, 0, 8.15, 
2014/07/06, 08:30:36, -17.400894, 13.584449, 919.35,  2124.00, 106, 0, 2.36, 
2014/07/06, 08:31:10, -17.400846, 13.584482, 921.21,  1188.00, 34, 0, 6.38, 
2014/07/06, 08:31:44, -17.400913, 13.584478, 952.73,  396.00, 354, 0, 7.46, 
2014/07/06, 08:32:18, -17.400854, 13.584468, 934.83,  504.00, 160, 0, 6.65, 
