Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/05, 19:34:44, -17.392561, 13.607306, 964.73,  1080.00, 88, -2, 0.00, 1
2014/07/05, 19:36:05, -17.392561, 13.607306, 964.73,  684.00, 57, 0, 0.00, 1
2014/07/05, 19:37:46, -17.392403, 13.607296, 943.82,  720.00, 228, 0, 17.60, 1
2014/07/05, 19:39:06, -17.392462, 13.607186, 931.22,  360.00, 41, 0, 13.39, 1
2014/07/05, 19:40:14, -17.392504, 13.607174, 942.48,  900.00, 49, 0, 4.84, 1
2014/07/05, 19:40:51, -17.392492, 13.607135, 917.45,  756.00, 334, 0, 4.35, 1
2014/07/05, 19:41:28, -17.392527, 13.607068, 924.82,  288.00, 122, 0, 8.10, 1
2014/07/05, 19:42:05, -17.392508, 13.607059, 919.31,  0.00, 67, 0, 2.32, 1
2014/07/05, 19:42:42, -17.392477, 13.607147, 918.03,  972.00, 0, 0, 9.95, 1
2014/07/05, 19:43:15, -17.392458, 13.607176, 929.84,  576.00, 140, 0, 3.73, 1
2014/07/05, 19:43:48, -17.392490, 13.607072, 928.09,  612.00, 301, 0, 11.60, 1
2014/07/05, 19:44:24, -17.392490, 13.607194, 953.06,  0.00, 0, 0, 12.95, 1
2014/07/05, 19:45:00, -17.392464, 13.607060, 914.60,  0.00, 166, 0, 14.51, 1
2014/07/05, 19:45:37, -17.392527, 13.607190, 919.54,  2952.00, 250, 0, 15.47, 1
2014/07/05, 19:46:11, -17.392845, 13.606914, 893.73,  3024.00, 226, 0, 45.91, 1
2014/07/05, 19:46:45, -17.393181, 13.607269, 942.25,  5364.00, 156, 0, 53.06, 1
2014/07/05, 19:47:19, -17.393549, 13.607152, 930.69,  0.00, 166, 0, 42.76, 1
2014/07/05, 19:47:56, -17.393930, 13.606975, 930.61,  4356.00, 251, 0, 46.34, 1
2014/07/05, 19:48:33, -17.394245, 13.607001, 937.56,  3744.00, 221, 0, 35.13, 1
2014/07/05, 19:49:07, -17.394482, 13.606832, 922.78,  0.00, 183, 0, 31.88, 1
2014/07/05, 19:49:43, -17.394579, 13.606771, 903.78,  1944.00, 0, 0, 12.58, 1
