Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/07, 09:37:34, -17.392736, 13.622562, 926.95,  252.00, 311, -2, 0.00, 1
2014/07/07, 09:38:17, -17.392792, 13.622637, 939.60,  4572.00, 152, 0, 10.10, 1
2014/07/07, 09:38:55, -17.392942, 13.622689, 935.03,  324.00, 28, 0, 17.57, 
2014/07/07, 09:39:32, -17.393030, 13.622716, 948.65,  1872.00, 322, 0, 10.20, 
2014/07/07, 09:40:10, -17.392891, 13.622677, 920.97,  2484.00, 316, 0, 16.00, 
2014/07/07, 09:40:45, -17.392838, 13.622693, 907.75,  828.00, 24, 0, 6.13, 
2014/07/07, 09:41:21, -17.392910, 13.622701, 934.29,  1008.00, 0, 0, 8.05, 
2014/07/07, 09:42:03, -17.392952, 13.622755, 934.01,  612.00, 35, 0, 7.39, 
2014/07/07, 09:42:38, -17.392929, 13.622718, 927.90,  1008.00, 339, 0, 4.69, 
2014/07/07, 09:43:15, -17.392813, 13.622648, 952.93,  216.00, 105, 0, 14.88, 
2014/07/07, 09:43:51, -17.392839, 13.622808, 920.29,  3564.00, 285, 0, 17.22, 
2014/07/07, 09:44:27, -17.392838, 13.622602, 905.07,  0.00, 324, 0, 21.86, 
2014/07/07, 09:45:02, -17.392727, 13.622561, 936.37,  900.00, 49, 0, 13.09, 
2014/07/07, 09:45:37, -17.392815, 13.622569, 934.66,  324.00, 52, 0, 9.82, 
2014/07/07, 09:46:11, -17.392794, 13.622579, 925.87,  360.00, 0, 0, 2.56, 
2014/07/07, 09:46:47, -17.392759, 13.622585, 925.22,  1260.00, 338, 0, 3.94, 
2014/07/07, 09:47:23, -17.392815, 13.622600, 915.74,  504.00, 0, 0, 6.43, 
2014/07/07, 09:47:58, -17.392715, 13.622590, 925.21,  468.00, 347, 0, 11.17, 
2014/07/07, 09:48:34, -17.392771, 13.622583, 945.41,  756.00, 338, 0, 6.27, 
2014/07/07, 09:49:09, -17.392759, 13.622622, 932.66,  252.00, 161, 0, 4.35, 
2014/07/07, 09:49:44, -17.392733, 13.622599, 924.44,  144.00, 0, 0, 3.78, 
2014/07/07, 09:50:21, -17.392748, 13.622587, 941.00,  0.00, 164, 0, 2.10, 
2014/07/07, 09:50:56, -17.392763, 13.622617, 928.06,  288.00, 0, 0, 3.59, 
2014/07/07, 09:51:32, -17.392733, 13.622636, 934.21,  720.00, 1, 0, 3.90, 
2014/07/07, 09:52:08, -17.392767, 13.622627, 939.94,  468.00, 0, 0, 3.90, 
2014/07/07, 09:52:43, -17.392759, 13.622628, 938.78,  936.00, 0, 0, 0.90, 
2014/07/07, 09:53:18, -17.392778, 13.622642, 936.99,  324.00, 93, 0, 2.58, 
2014/07/07, 09:53:55, -17.392712, 13.622555, 922.48,  684.00, 40, 0, 11.79, 
2014/07/07, 09:54:32, -17.392740, 13.622559, 930.89,  3024.00, 96, 0, 3.14, 
2014/07/07, 09:55:08, -17.392908, 13.622654, 934.97,  432.00, 175, 0, 21.23, 
2014/07/07, 09:55:45, -17.392899, 13.622658, 936.95,  1044.00, 42, 0, 1.09, 
2014/07/07, 09:56:22, -17.392872, 13.622629, 922.02,  864.00, 163, 0, 4.30, 
