Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/19, 14:46:05, -17.409868, 13.483938, 994.11,  288.00, 310, -2, 0.00, 1
2014/07/19, 14:46:58, -17.409883, 13.483894, 988.62,  432.00, 288, 0, 4.96, 1
2014/07/19, 14:47:33, -17.409903, 13.483962, 1001.11,  288.00, 310, 0, 7.55, 1
2014/07/19, 14:48:07, -17.409801, 13.484085, 998.36,  540.00, 167, 0, 17.29, 1
2014/07/19, 14:48:41, -17.409756, 13.484044, 998.34,  324.00, 269, 0, 6.63, 1
2014/07/19, 14:49:15, -17.409550, 13.483842, 995.23,  252.00, 85, 0, 31.37, 1
2014/07/19, 14:49:49, -17.409960, 13.483802, 1031.07,  540.00, 89, 0, 45.79, 1
2014/07/19, 14:50:26, -17.409632, 13.484032, 983.06,  0.00, 350, 0, 43.88, 1
2014/07/19, 14:51:00, -17.409971, 13.483804, 1025.61,  2412.00, 177, 0, 44.79, 1
2014/07/19, 14:51:34, -17.409903, 13.483906, 1006.02,  252.00, 51, 0, 13.20, 1
2014/07/19, 14:52:09, -17.409857, 13.484136, 1013.32,  0.00, 64, 0, 24.93, 1
2014/07/19, 14:52:45, -17.409843, 13.483917, 984.39,  0.00, 223, 0, 23.29, 1
2014/07/19, 14:53:19, -17.409832, 13.483987, 1005.57,  432.00, 146, 0, 7.53, 1
2014/07/19, 14:53:54, -17.410027, 13.483930, 1008.17,  540.00, 52, 0, 22.51, 1
2014/07/19, 14:54:29, -17.409920, 13.483815, 994.56,  504.00, 303, 0, 17.04, 1
2014/07/19, 14:55:04, -17.409914, 13.484050, 999.43,  4356.00, 115, 0, 24.94, 1
2014/07/19, 14:55:39, -17.409845, 13.484200, 976.95,  936.00, 32, 0, 17.67, 1
2014/07/19, 14:56:13, -17.409864, 13.484281, 986.88,  0.00, 74, 0, 8.85, 1
2014/07/19, 14:56:47, -17.409946, 13.484594, 981.30,  288.00, 286, 0, 34.44, 1
2014/07/19, 14:57:21, -17.409939, 13.484776, 989.97,  3780.00, 92, 0, 19.33, 1
2014/07/19, 14:57:58, -17.409924, 13.485182, 989.50,  0.00, 102, 0, 43.11, 1
2014/07/19, 14:58:32, -17.410059, 13.485483, 1005.43,  4176.00, 118, 0, 35.29, 1
2014/07/19, 14:59:06, -17.410095, 13.485777, 992.08,  576.00, 328, 0, 31.45, 1
2014/07/19, 14:59:44, -17.410112, 13.485695, 982.59,  3132.00, 188, 0, 8.90, 1
2014/07/19, 15:00:19, -17.410425, 13.485632, 980.99,  0.00, 189, 0, 35.44, 1
2014/07/19, 15:00:54, -17.410797, 13.485524, 982.21,  1368.00, 339, 0, 42.92, 1
2014/07/19, 15:01:27, -17.410944, 13.485209, 978.52,  3132.00, 237, 0, 37.20, 1
2014/07/19, 15:02:01, -17.411009, 13.484798, 972.36,  2772.00, 259, 0, 44.20, 1
2014/07/19, 15:02:36, -17.411251, 13.485065, 995.67,  1800.00, 59, 0, 39.07, 1
2014/07/19, 15:03:10, -17.411449, 13.485158, 962.37,  1296.00, 304, 0, 24.13, 1
2014/07/19, 15:03:47, -17.411623, 13.485287, 965.90,  756.00, 137, 0, 23.70, 1
2014/07/19, 15:04:22, -17.411486, 13.485173, 968.36,  1404.00, 302, 0, 19.45, 1
2014/07/19, 15:04:56, -17.411474, 13.485140, 997.14,  1836.00, 14, 0, 3.75, 1
2014/07/19, 15:05:30, -17.411263, 13.484962, 972.51,  36.00, 207, 0, 30.12, 1
2014/07/19, 15:06:04, -17.411314, 13.484962, 985.81,  1764.00, 270, 0, 5.67, 1
2014/07/19, 15:06:41, -17.411354, 13.485006, 981.73,  0.00, 282, 0, 6.45, 1
2014/07/19, 15:07:16, -17.411322, 13.485038, 975.49,  720.00, 240, 0, 4.92, 1
2014/07/19, 15:07:50, -17.411016, 13.484708, 953.04,  1908.00, 121, 0, 48.82, 1
2014/07/19, 15:08:24, -17.411350, 13.485106, 999.74,  828.00, 256, 0, 56.24, 1
2014/07/19, 15:08:58, -17.411345, 13.485106, 998.12,  1044.00, 167, 0, 0.56, 1
2014/07/19, 15:09:35, -17.411219, 13.484962, 976.70,  504.00, 174, 0, 20.73, 1
2014/07/19, 15:10:12, -17.411562, 13.485017, 999.74,  0.00, 165, 0, 38.58, 1
2014/07/19, 15:10:45, -17.411184, 13.484798, 1017.21,  2412.00, 112, 0, 48.03, 1
2014/07/19, 15:11:20, -17.411272, 13.484970, 969.01,  756.00, 310, 0, 20.71, 1
2014/07/19, 15:11:54, -17.411263, 13.484971, 960.59,  0.00, 0, 0, 1.01, 1
2014/07/19, 15:12:29, -17.411270, 13.485148, 1004.45,  648.00, 196, 0, 18.80, 1
2014/07/19, 15:13:06, -17.411350, 13.485049, 985.50,  1980.00, 316, 0, 13.76, 1
2014/07/19, 15:13:44, -17.411459, 13.485164, 1016.68,  0.00, 256, 0, 17.20, 1
2014/07/19, 15:14:19, -17.411282, 13.484958, 963.68,  0.00, 133, 0, 29.41, 1
2014/07/19, 15:14:53, -17.411314, 13.485022, 976.35,  972.00, 138, 0, 7.67, 1
2014/07/19, 15:15:27, -17.411280, 13.485106, 995.58,  864.00, 346, 0, 9.68, 1
2014/07/19, 15:16:01, -17.411345, 13.485054, 970.23,  36.00, 302, 0, 9.09, 1
2014/07/19, 15:16:35, -17.411386, 13.485044, 969.26,  0.00, 175, 0, 4.68, 1
2014/07/19, 15:17:13, -17.411381, 13.485128, 1001.05,  0.00, 72, 0, 8.93, 1
2014/07/19, 15:17:50, -17.411341, 13.484949, 983.63,  576.00, 268, -4, 19.51, 1
2014/07/19, 18:44:11, -17.404659, 13.496661, 1007.42,  3204.00, 258, -2, 0.00, 1
2014/07/19, 18:45:59, -17.404659, 13.496661, 1007.42,  1296.00, 163, 0, 0.00, 1
2014/07/19, 18:48:01, -17.405033, 13.498031, 966.41,  5112.00, 94, 0, 151.19, 1
2014/07/19, 18:49:27, -17.404991, 13.499222, 971.67,  8316.00, 103, 0, 126.46, 1
2014/07/19, 18:51:01, -17.405312, 13.500325, 976.39,  1944.00, 139, 0, 122.35, 1
2014/07/19, 18:52:16, -17.405132, 13.499707, 993.09,  4608.00, 286, 0, 68.56, 1
2014/07/19, 18:53:32, -17.405006, 13.498935, 979.04,  3420.00, 263, 0, 83.10, 1
2014/07/19, 18:54:34, -17.404934, 13.498253, 989.95,  0.00, 274, 0, 72.80, 1
2014/07/19, 18:55:08, -17.404930, 13.497878, 981.14,  0.00, 272, 0, 39.79, 1
2014/07/19, 18:55:41, -17.404825, 13.497825, 958.28,  1584.00, 78, 0, 12.96, 1
2014/07/19, 18:56:15, -17.404795, 13.497493, 979.63,  0.00, 261, 0, 35.38, 1
2014/07/19, 18:56:49, -17.404816, 13.497128, 980.34,  4104.00, 293, 0, 38.80, 1
2014/07/19, 18:57:23, -17.404709, 13.496926, 985.82,  0.00, 278, 0, 24.51, 1
2014/07/19, 18:57:57, -17.404701, 13.496948, 981.19,  2340.00, 27, 0, 2.50, 1
2014/07/19, 18:58:31, -17.404602, 13.497067, 973.20,  2700.00, 94, 0, 16.75, 1
2014/07/19, 18:59:06, -17.404650, 13.497184, 975.71,  4104.00, 73, 0, 13.51, 1
2014/07/19, 18:59:39, -17.404585, 13.496986, 984.21,  0.00, 266, 0, 22.22, 1
2014/07/19, 19:00:12, -17.404549, 13.497059, 989.11,  0.00, 212, 0, 8.72, 1
2014/07/19, 19:00:45, -17.404583, 13.496971, 980.60,  0.00, 274, 0, 10.07, 1
2014/07/19, 19:01:18, -17.404463, 13.496956, 971.55,  0.00, 0, 0, 13.44, 1
2014/07/19, 19:01:53, -17.404503, 13.496959, 980.18,  0.00, 277, 0, 4.46, 1
2014/07/19, 19:02:28, -17.404560, 13.496970, 969.41,  3348.00, 243, -4, 6.44, 1
2014/07/19, 19:08:30, -17.404634, 13.497083, 979.50,  1476.00, 232, -2, 0.00, 1
2014/07/19, 19:09:02, -17.404655, 13.497066, 980.86,  612.00, 87, 0, 2.95, 1
2014/07/19, 19:09:37, -17.404701, 13.496999, 981.19,  0.00, 90, 0, 8.76, 1
2014/07/19, 19:10:11, -17.404690, 13.497017, 984.95,  0.00, 0, 0, 2.27, 1
2014/07/19, 19:10:45, -17.404728, 13.496875, 980.30,  0.00, 228, 0, 15.65, 1
2014/07/19, 19:11:18, -17.404711, 13.496904, 999.20,  648.00, 207, 0, 3.61, 1
2014/07/19, 19:11:53, -17.404774, 13.497011, 989.39,  288.00, 108, 0, 13.34, 1
2014/07/19, 19:12:27, -17.404663, 13.496928, 1006.85,  180.00, 28, 0, 15.16, 1
2014/07/19, 19:13:04, -17.404737, 13.496999, 979.96,  540.00, 300, 0, 11.16, 1
2014/07/19, 19:13:37, -17.404621, 13.497040, 991.68,  3060.00, 53, 0, 13.61, 1
