Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/19, 12:01:35, -17.409750, 13.483877, 970.78,  1656.00, 357, -2, 0.00, 1
2014/07/19, 12:03:22, -17.409750, 13.483877, 970.78,  0.00, 168, 0, 0.00, 1
2014/07/19, 12:04:21, -17.410231, 13.483753, 999.33,  2304.00, 180, 0, 55.08, 
2014/07/19, 12:05:38, -17.409685, 13.483931, 957.88,  0.00, 218, 0, 63.58, 
2014/07/19, 12:06:16, -17.409317, 13.483983, 936.88,  4140.00, 22, 0, 41.29, 
2014/07/19, 12:06:53, -17.409687, 13.483892, 957.33,  0.00, 3, 0, 42.26, 
2014/07/19, 12:08:38, -17.409908, 13.483846, 979.12,  0.00, 105, 0, 25.05, 
2014/07/19, 12:09:57, -17.409861, 13.483843, 983.82,  0.00, 94, 0, 5.24, 
2014/07/19, 12:10:34, -17.409845, 13.483922, 966.42,  0.00, 105, 0, 8.57, 
2014/07/19, 12:11:12, -17.409840, 13.483929, 969.59,  1404.00, 263, 0, 0.93, 
2014/07/19, 12:11:51, -17.409834, 13.483870, 974.07,  1296.00, 27, 0, 6.30, 
2014/07/19, 12:12:36, -17.409834, 13.483959, 998.39,  180.00, 156, 0, 9.44, 
2014/07/19, 12:13:15, -17.409872, 13.483894, 967.66,  1332.00, 265, 0, 8.09, 
2014/07/19, 12:13:53, -17.409763, 13.483953, 1005.99,  756.00, 172, 0, 13.64, 
2014/07/19, 12:14:30, -17.409834, 13.483943, 991.14,  1116.00, 310, 0, 7.97, 
2014/07/19, 12:15:08, -17.409811, 13.483850, 990.82,  0.00, 73, 0, 10.19, 
2014/07/19, 12:15:45, -17.409784, 13.483864, 984.63,  1008.00, 305, 0, 3.35, 
2014/07/19, 12:16:24, -17.409815, 13.483947, 989.97,  360.00, 65, 0, 9.46, 
2014/07/19, 12:17:03, -17.409800, 13.483871, 990.08,  0.00, 241, 0, 8.23, 
2014/07/19, 12:17:54, -17.409845, 13.483820, 952.20,  0.00, 44, 0, 7.37, 
2014/07/19, 12:18:56, -17.409834, 13.483915, 987.12,  216.00, 118, 0, 10.15, 
2014/07/19, 12:19:47, -17.409817, 13.483841, 990.31,  1476.00, 231, 0, 8.08, 
2014/07/19, 12:20:24, -17.409885, 13.483841, 978.11,  4104.00, 170, 0, 7.56, 
2014/07/19, 12:21:07, -17.409861, 13.483817, 972.83,  1512.00, 195, 0, 3.69, 
2014/07/19, 12:21:45, -17.409855, 13.483791, 954.57,  2052.00, 125, 0, 2.84, 
2014/07/19, 12:22:23, -17.409851, 13.483863, 989.72,  0.00, 145, 0, 7.65, 
2014/07/19, 12:23:00, -17.409916, 13.483808, 928.28,  3492.00, 305, 0, 9.29, 
2014/07/19, 12:23:36, -17.409842, 13.483644, 911.63,  2160.00, 152, 0, 19.25, 
2014/07/19, 12:24:13, -17.409801, 13.483915, 990.97,  2880.00, 233, 0, 29.11, 
2014/07/19, 12:24:49, -17.409805, 13.483938, 999.52,  3096.00, 256, 0, 2.48, 
2014/07/19, 12:25:27, -17.409781, 13.483642, 928.37,  2412.00, 130, 0, 31.52, 
2014/07/19, 12:26:11, -17.409840, 13.483903, 997.25,  72.00, 151, 0, 28.46, 
2014/07/19, 12:26:58, -17.409918, 13.484066, 1019.22,  2700.00, 112, 0, 19.35, 
2014/07/19, 12:27:43, -17.409824, 13.483901, 987.87,  864.00, 125, 0, 20.39, 
2014/07/19, 12:28:27, -17.409927, 13.484111, 1042.73,  3168.00, 115, 0, 25.05, 
2014/07/19, 12:29:05, -17.409826, 13.483794, 938.98,  0.00, 138, 0, 35.46, 
2014/07/19, 12:29:42, -17.409883, 13.483857, 969.66,  4860.00, 268, 0, 9.21, 
2014/07/19, 12:30:21, -17.409855, 13.483846, 993.61,  612.00, 153, 0, 3.33, 
2014/07/19, 12:30:59, -17.409834, 13.483799, 964.99,  0.00, 245, 0, 5.51, 
2014/07/19, 12:31:37, -17.409836, 13.483928, 991.88,  0.00, 118, 0, 13.69, 
2014/07/19, 12:35:43, -17.409927, 13.483832, 964.07,  1728.00, 77, 0, 14.36, 
2014/07/19, 12:36:23, -17.409813, 13.483952, 989.67,  5652.00, 278, 0, 17.97, 
2014/07/19, 12:36:59, -17.409809, 13.483741, 944.72,  2700.00, 192, 0, 22.39, 
2014/07/19, 12:37:38, -17.409887, 13.483951, 1002.05,  0.00, 76, 0, 23.91, 
2014/07/19, 12:38:21, -17.409845, 13.483874, 969.81,  792.00, 150, 0, 9.41, 
2014/07/19, 12:48:46, -17.409864, 13.483788, 974.73,  108.00, 187, 0, 9.37, 
2014/07/19, 12:49:32, -17.409842, 13.483827, 993.15,  540.00, 202, 0, 4.81, 
2014/07/19, 12:50:19, -17.409796, 13.483768, 947.13,  1332.00, 351, 0, 8.08, 
2014/07/19, 12:51:06, -17.409824, 13.483842, 977.35,  1080.00, 138, 0, 8.45, 
2014/07/19, 12:51:43, -17.409887, 13.483893, 988.95,  756.00, 98, 0, 8.85, 
2014/07/19, 12:52:20, -17.409761, 13.483885, 965.33,  684.00, 118, 0, 14.04, 
2014/07/19, 12:52:56, -17.409807, 13.483743, 954.21,  900.00, 205, 0, 15.91, 
2014/07/19, 12:53:33, -17.409843, 13.483831, 958.48,  0.00, 116, 0, 10.16, 
2014/07/19, 12:54:12, -17.409853, 13.483851, 975.12,  576.00, 182, 0, 2.40, 
2014/07/19, 12:56:06, -17.409830, 13.483978, 975.57,  0.00, 127, 0, 13.72, 
2014/07/19, 12:56:45, -17.409790, 13.483750, 938.73,  504.00, 287, 0, 24.60, 
2014/07/19, 12:57:22, -17.409876, 13.484010, 984.11,  1440.00, 142, 0, 29.20, 
2014/07/19, 12:57:59, -17.409891, 13.483962, 971.97,  0.00, 0, 0, 5.36, 
2014/07/19, 12:58:36, -17.409937, 13.484258, 1012.33,  0.00, 188, 0, 31.82, 
2014/07/19, 12:59:13, -17.409828, 13.484020, 965.40,  0.00, 239, 0, 28.01, 
2014/07/19, 12:59:50, -17.409891, 13.484032, 1003.05,  0.00, 291, 0, 7.12, 
2014/07/19, 13:00:26, -17.409826, 13.483969, 986.57,  720.00, 337, 0, 9.84, 
2014/07/19, 13:01:04, -17.409752, 13.483879, 952.07,  864.00, 196, 0, 12.61, 
2014/07/19, 13:01:42, -17.409803, 13.483977, 1006.80,  1224.00, 227, 0, 11.84, 
2014/07/19, 13:02:18, -17.409889, 13.483974, 1001.81,  1728.00, 190, 0, 9.57, 
2014/07/19, 13:02:55, -17.409719, 13.484046, 974.17,  0.00, 171, 0, 20.39, 
2014/07/19, 13:03:32, -17.409784, 13.484085, 978.09,  0.00, 189, 0, 8.33, 
2014/07/19, 13:04:11, -17.409807, 13.483997, 1025.39,  0.00, 119, 0, 9.68, 
2014/07/19, 13:04:48, -17.409891, 13.484000, 1005.77,  0.00, 220, 0, 9.35, 
2014/07/19, 13:05:27, -17.409901, 13.484015, 1010.61,  432.00, 184, 0, 1.94, 
2014/07/19, 13:06:06, -17.409866, 13.483890, 963.37,  540.00, 186, 0, 13.82, 
2014/07/19, 13:06:43, -17.409828, 13.483807, 963.64,  936.00, 201, 0, 9.77, 
2014/07/19, 13:07:19, -17.409885, 13.483801, 1011.05,  2376.00, 168, 0, 6.37, 
2014/07/19, 13:07:55, -17.409843, 13.483877, 932.06,  3312.00, 205, 0, 9.32, 
2014/07/19, 13:08:32, -17.409786, 13.483857, 932.82,  1476.00, 184, 0, 6.68, 
2014/07/19, 13:09:14, -17.409840, 13.483788, 990.97,  0.00, 120, 0, 9.47, 
2014/07/19, 13:09:51, -17.409807, 13.483809, 962.52,  432.00, 139, 0, 4.29, 
2014/07/19, 13:10:33, -17.409966, 13.483841, 981.53,  288.00, 60, 0, 18.00, 
2014/07/19, 13:11:10, -17.409849, 13.483904, 994.95,  0.00, 0, 0, 14.63, 
2014/07/19, 13:12:12, -17.409786, 13.483889, 984.90,  0.00, 207, 0, 7.18, 
2014/07/19, 13:12:48, -17.409805, 13.483906, 1007.47,  792.00, 125, 0, 2.78, 
2014/07/19, 13:13:28, -17.409880, 13.483859, 975.07,  288.00, 33, 0, 9.72, 
2014/07/19, 13:14:15, -17.409977, 13.483531, 964.84,  3168.00, 222, 0, 36.43, 
2014/07/19, 13:14:54, -17.409903, 13.483857, 984.73,  792.00, 31, 0, 35.55, 
2014/07/19, 13:15:34, -17.409832, 13.483949, 1021.39,  216.00, 82, 0, 12.55, 
2014/07/19, 13:16:12, -17.409876, 13.483768, 979.31,  0.00, 90, 0, 19.82, 
2014/07/19, 13:19:29, -17.409920, 13.483725, 927.44,  2196.00, 65, 0, 6.69, 
2014/07/19, 13:20:06, -17.409800, 13.483908, 1021.39,  3168.00, 80, 0, 23.56, 
2014/07/19, 13:20:46, -17.409834, 13.483973, 1021.84,  2700.00, 220, 0, 7.86, 
2014/07/19, 13:21:22, -17.409767, 13.483690, 979.78,  2520.00, 253, 0, 30.94, 
2014/07/19, 13:22:00, -17.409925, 13.483687, 978.36,  11232.00, 243, 0, 17.57, 
2014/07/19, 13:22:36, -17.409796, 13.483980, 1022.63,  2124.00, 204, 0, 34.24, 
2014/07/19, 13:23:31, -17.409712, 13.483949, 991.21,  1512.00, 98, 0, 9.90, 
2014/07/19, 13:24:13, -17.409788, 13.483946, 1045.92,  3060.00, 74, 0, 8.46, 
2014/07/19, 13:25:06, -17.409792, 13.483961, 1042.57,  5652.00, 76, 0, 1.65, 
2014/07/19, 13:25:47, -17.409813, 13.483737, 1006.34,  1368.00, 170, 0, 23.88, 
2014/07/19, 13:26:23, -17.409832, 13.484049, 1011.38,  0.00, 0, 0, 33.17, 
