Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/19, 13:22:22, -17.409937, 13.483862, 993.30,  2448.00, 248, -2, 0.00, 1
2014/07/19, 13:26:18, -17.409937, 13.483862, 993.30,  0.00, 0, 0, 0.00, 1
2014/07/19, 13:26:53, -17.409946, 13.483906, 979.01,  612.00, 311, 0, 4.77, 
2014/07/19, 13:27:38, -17.409866, 13.483820, 977.18,  900.00, 5, 0, 12.74, 
2014/07/19, 13:29:23, -17.409929, 13.483965, 1004.39,  1368.00, 73, 0, 16.90, 
2014/07/19, 13:30:10, -17.410044, 13.484307, 1004.48,  1044.00, 118, 0, 38.47, 1
2014/07/19, 13:31:58, -17.409946, 13.484944, 970.73,  4068.00, 151, 0, 68.46, 1
2014/07/19, 13:33:47, -17.410124, 13.485607, 960.54,  1080.00, 106, 0, 73.08, 1
2014/07/19, 13:35:08, -17.410318, 13.485785, 978.31,  576.00, 314, 0, 28.67, 1
2014/07/19, 13:35:58, -17.410145, 13.485663, 982.69,  1116.00, 4, 0, 23.19, 
2014/07/19, 13:36:50, -17.410316, 13.485736, 985.98,  864.00, 181, 0, 20.53, 
2014/07/19, 13:37:35, -17.410227, 13.485745, 964.02,  1404.00, 332, 0, 9.94, 
2014/07/19, 13:38:13, -17.410273, 13.485812, 992.04,  468.00, 312, 0, 8.76, 
2014/07/19, 13:39:06, -17.410357, 13.485894, 993.86,  540.00, 123, 0, 12.76, 
2014/07/19, 13:39:59, -17.410192, 13.485749, 965.03,  1008.00, 329, -1, 23.94, 
2014/07/19, 13:40:24, -17.410299, 13.485830, 992.07,  1008.00, 0, -1, 14.68, 
2014/07/19, 13:41:17, -17.410334, 13.485834, 1012.12,  1656.00, 19, 0, 3.91, 
2014/07/19, 13:42:20, -17.410412, 13.485879, 1004.05,  216.00, 181, 0, 9.90, 
2014/07/19, 13:43:36, -17.410406, 13.485842, 999.00,  3456.00, 108, 0, 3.98, 
2014/07/19, 13:44:56, -17.410324, 13.485931, 981.72,  2844.00, 85, 0, 13.13, 
2014/07/19, 13:46:25, -17.409864, 13.486516, 981.27,  4140.00, 72, 0, 80.43, 1
2014/07/19, 13:47:59, -17.409649, 13.487186, 1009.92,  3204.00, 57, 0, 75.00, 1
2014/07/19, 13:49:15, -17.409334, 13.487877, 1018.71,  3744.00, 69, 0, 81.25, 1
2014/07/19, 13:50:16, -17.409157, 13.488319, 1047.60,  792.00, 35, 0, 50.86, 1
2014/07/19, 13:51:29, -17.410343, 13.489867, 1481.90,  3276.00, 75, 0, 210.64, 1
2014/07/19, 13:52:52, -17.409645, 13.489976, 1417.40,  3276.00, 88, 0, 78.47, 1
2014/07/19, 13:54:17, -17.409559, 13.490634, 1488.68,  5832.00, 124, 0, 70.47, 1
2014/07/19, 13:55:47, -17.407709, 13.490539, 1110.92,  2412.00, 55, 0, 205.96, 1
2014/07/19, 13:57:18, -17.407574, 13.491227, 1162.55,  3240.00, 89, 0, 74.53, 1
2014/07/19, 13:58:52, -17.408516, 13.492421, 1473.73,  4896.00, 88, 0, 164.38, 1
2014/07/19, 14:00:26, -17.409784, 13.493789, 1828.67,  5220.00, 78, 0, 202.35, 1
2014/07/19, 14:02:03, -17.410624, 13.494971, 1982.73,  6516.00, 108, 0, 156.37, 1
2014/07/19, 14:03:41, -17.412430, 13.496655, 2333.22,  1368.00, 66, 0, 268.80, 1
2014/07/19, 14:05:12, -17.412153, 13.497535, 2311.35,  3564.00, 95, 0, 98.32, 1
2014/07/19, 14:06:39, -17.412073, 13.498430, 2317.07,  4680.00, 89, 0, 95.37, 1
2014/07/19, 14:08:02, -17.411779, 13.499093, 2294.44,  3492.00, 104, 0, 77.57, 1
