Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/22, 17:51:13, -17.413298, 13.444967, 1006.52,  180.00, 103, -2, 0.00, 1
2014/07/22, 17:54:16, -17.413298, 13.444967, 1006.52,  468.00, 93, 0, 0.00, 1
2014/07/22, 17:56:30, -17.413172, 13.445040, 1047.71,  180.00, 262, 0, 16.01, 
2014/07/22, 17:57:33, -17.413237, 13.445257, 1008.88,  324.00, 83, -1, 24.13, 
2014/07/22, 17:59:00, -17.413164, 13.445284, 1007.25,  1476.00, 31, 0, 8.61, 
2014/07/22, 17:59:44, -17.413006, 13.445341, 1016.72,  2556.00, 201, 0, 18.58, 
2014/07/22, 18:01:10, -17.413065, 13.445278, 1064.22,  396.00, 164, 0, 9.37, 
2014/07/22, 18:02:33, -17.414642, 13.445377, 1013.56,  4860.00, 109, 0, 175.67, 
2014/07/22, 18:03:19, -17.414530, 13.445267, 1032.25,  3564.00, 353, 0, 17.07, 1
2014/07/22, 18:04:07, -17.414581, 13.445088, 1024.69,  180.00, 82, 0, 19.82, 1
2014/07/22, 18:04:59, -17.415052, 13.444930, 1025.68,  1872.00, 204, 0, 54.99, 1
2014/07/22, 18:05:44, -17.415476, 13.444370, 1058.65,  5040.00, 201, 0, 75.85, 1
2014/07/22, 18:06:32, -17.416018, 13.443968, 1054.98,  4284.00, 165, 0, 73.83, 1
2014/07/22, 18:07:26, -17.416496, 13.443513, 1037.88,  2628.00, 246, 0, 71.80, 1
2014/07/22, 18:08:19, -17.416832, 13.442915, 1023.87,  4032.00, 256, 0, 73.63, 1
2014/07/22, 18:09:18, -17.416693, 13.442101, 1042.66,  6588.00, 245, 0, 87.74, 1
2014/07/22, 18:10:10, -17.417183, 13.441082, 1023.49,  5616.00, 253, 0, 121.07, 1
2014/07/22, 18:11:00, -17.417610, 13.440569, 1035.63,  1152.00, 276, 0, 72.23, 1
2014/07/22, 18:11:51, -17.418175, 13.440311, 1031.72,  5112.00, 223, 0, 68.53, 1
2014/07/22, 18:12:36, -17.418587, 13.439700, 1025.93,  6156.00, 241, 0, 79.38, 1
2014/07/22, 18:13:22, -17.419001, 13.439106, 1034.83,  4752.00, 250, 0, 78.04, 1
2014/07/22, 18:14:08, -17.419506, 13.438434, 1034.66,  11052.00, 289, 0, 90.75, 1
2014/07/22, 18:14:51, -17.419861, 13.437856, 1038.51,  7056.00, 263, 0, 72.93, 1
2014/07/22, 18:15:38, -17.419991, 13.437371, 1033.50,  9360.00, 286, 0, 53.45, 1
2014/07/22, 18:16:21, -17.420221, 13.436573, 1044.55,  5436.00, 240, 0, 88.44, 1
2014/07/22, 18:17:02, -17.420511, 13.436025, 1036.93,  5472.00, 257, 0, 66.48, 1
2014/07/22, 18:17:42, -17.420845, 13.435492, 1039.05,  4968.00, 230, 0, 67.65, 1
2014/07/22, 18:18:26, -17.421021, 13.435035, 1033.55,  4464.00, 269, 0, 52.29, 1
2014/07/22, 18:19:08, -17.421518, 13.434557, 1052.34,  5940.00, 257, 0, 75.01, 1
2014/07/22, 18:19:51, -17.421749, 13.434031, 1040.83,  3744.00, 246, 0, 61.43, 1
2014/07/22, 18:20:35, -17.421780, 13.433658, 1046.07,  540.00, 309, 0, 39.72, 1
2014/07/22, 18:21:19, -17.422104, 13.433760, 1042.64,  2124.00, 104, 0, 37.62, 1
2014/07/22, 18:22:01, -17.421946, 13.433942, 987.43,  720.00, 122, 0, 26.11, 1
2014/07/22, 18:22:36, -17.422108, 13.433803, 1028.44,  936.00, 0, 0, 23.28, 1
2014/07/22, 18:23:22, -17.422037, 13.433914, 1029.76,  828.00, 298, 0, 14.18, 1
2014/07/22, 18:24:04, -17.422052, 13.433645, 1046.19,  1944.00, 271, 0, 28.59, 
2014/07/22, 18:24:43, -17.422207, 13.433689, 1082.40,  900.00, 28, 0, 17.86, 
2014/07/22, 18:25:25, -17.422064, 13.433684, 1031.20,  1116.00, 4, 0, 15.91, 
2014/07/22, 18:26:07, -17.422178, 13.433752, 1033.69,  432.00, 359, 0, 14.59, 
2014/07/22, 18:26:51, -17.422112, 13.433848, 1062.41,  1260.00, 65, 0, 12.55, 
2014/07/22, 18:27:32, -17.421951, 13.433794, 1033.76,  3240.00, 68, 0, 18.80, 
2014/07/22, 18:28:11, -17.421900, 13.433566, 1057.78,  3852.00, 348, 0, 24.85, 
2014/07/22, 18:28:53, -17.421862, 13.433643, 1058.61,  3168.00, 25, 0, 9.20, 
2014/07/22, 18:29:39, -17.421915, 13.433632, 1067.54,  1044.00, 312, 0, 6.01, 
2014/07/22, 18:30:24, -17.421827, 13.433631, 1053.43,  5760.00, 312, 0, 9.79, 
2014/07/22, 18:31:04, -17.421715, 13.433683, 1039.59,  4644.00, 44, 0, 13.62, 
2014/07/22, 18:31:43, -17.422100, 13.433646, 1037.51,  3348.00, 195, 0, 42.99, 
2014/07/22, 18:32:19, -17.422134, 13.433784, 1063.46,  684.00, 0, 0, 15.12, 
2014/07/22, 18:33:03, -17.422054, 13.433909, 1019.72,  792.00, 204, 0, 15.97, 
2014/07/22, 18:33:46, -17.421947, 13.433937, 1002.30,  7056.00, 22, 0, 12.26, 
2014/07/22, 18:34:24, -17.421976, 13.433700, 1065.17,  3276.00, 296, 0, 25.35, 
2014/07/22, 18:35:09, -17.421946, 13.433583, 1053.39,  6048.00, 273, 0, 12.85, 
2014/07/22, 18:35:52, -17.421810, 13.433542, 1053.17,  684.00, 343, 0, 15.74, 
2014/07/22, 18:36:39, -17.422083, 13.433904, 1045.40,  1296.00, 79, 0, 48.95, 
2014/07/22, 18:37:15, -17.422003, 13.433748, 1081.54,  1548.00, 117, 0, 18.79, 
2014/07/22, 18:37:58, -17.421928, 13.433673, 1060.41,  2268.00, 266, 0, 11.53, 
2014/07/22, 18:38:41, -17.422001, 13.433554, 1076.13,  1656.00, 138, 0, 15.01, 
2014/07/22, 18:39:25, -17.421938, 13.433670, 1084.31,  1044.00, 12, 0, 14.16, 
2014/07/22, 18:40:06, -17.421846, 13.433558, 1039.89,  720.00, 186, 0, 15.68, 
2014/07/22, 18:40:47, -17.421949, 13.433640, 1060.33,  432.00, 356, 0, 14.38, 
2014/07/22, 18:41:29, -17.421850, 13.433632, 1087.78,  1224.00, 264, 0, 11.04, 
2014/07/22, 18:42:12, -17.421865, 13.433675, 1213.64,  1332.00, 285, 0, 4.86, 
2014/07/22, 18:42:56, -17.421888, 13.433728, 1205.66,  540.00, 214, 0, 6.18, 
2014/07/22, 18:43:34, -17.421841, 13.433705, 1201.29,  468.00, 305, 0, 5.77, 
2014/07/22, 18:44:09, -17.421982, 13.433599, 1214.44,  36.00, 0, 0, 19.29, 
2014/07/22, 18:44:52, -17.421923, 13.433691, 1067.98,  2484.00, 245, 0, 11.76, 
2014/07/22, 18:45:39, -17.421864, 13.433756, 1280.01,  828.00, 304, 0, 9.52, 
2014/07/22, 18:47:25, -17.421785, 13.433684, 1300.09,  1332.00, 99, 0, 11.64, 
2014/07/22, 18:48:27, -17.421816, 13.433714, 1350.57,  1800.00, 118, 0, 4.69, 
2014/07/22, 18:49:06, -17.422001, 13.433727, 1185.36,  1296.00, 136, 0, 20.62, 
2014/07/22, 18:49:45, -17.421976, 13.433757, 1335.38,  144.00, 313, 0, 4.23, 
2014/07/22, 18:50:27, -17.421965, 13.433768, 1273.85,  684.00, 50, 0, 1.69, 
2014/07/22, 18:51:08, -17.422001, 13.433806, 1390.33,  1800.00, 84, 0, 5.68, 
2014/07/22, 18:51:55, -17.421947, 13.433733, 1250.90,  1404.00, 302, 0, 9.80, 
2014/07/22, 18:52:36, -17.421625, 13.434031, 1879.94,  1404.00, 5, 0, 47.77, 
2014/07/22, 18:57:14, -17.421625, 13.434031, 1879.94,  1404.00, 5, 0, 0.00, 
2014/07/22, 18:59:25, -17.417658, 13.435656, 6710.57,  972.00, 292, 0, 473.61, 
2014/07/22, 19:00:12, -17.417681, 13.435637, 6707.41,  1296.00, 192, -1, 3.26, 
2014/07/22, 19:01:35, -17.421249, 13.434129, 2051.31,  1260.00, 79, 0, 427.79, 
2014/07/22, 19:02:12, -17.421246, 13.434020, 2021.41,  4392.00, 94, 0, 11.57, 
2014/07/22, 19:02:53, -17.421032, 13.434311, 2185.34,  1224.00, 34, 0, 38.98, 
2014/07/22, 19:03:53, -17.421516, 13.434155, 1548.72,  576.00, 222, 0, 56.31, 
2014/07/22, 19:04:55, -17.421684, 13.434107, 1525.21,  6372.00, 162, 0, 19.36, 
2014/07/22, 19:05:35, -17.421768, 13.434175, 1455.03,  1008.00, 163, 0, 11.80, 
2014/07/22, 19:06:21, -17.420652, 13.434455, 2151.53,  4608.00, 14, 0, 127.60, 
2014/07/22, 19:07:08, -17.420668, 13.434810, 1706.38,  9396.00, 67, 0, 37.71, 
2014/07/22, 19:07:53, -17.421984, 13.435021, 135.66,  4500.00, 34, 0, 148.03, 1
2014/07/22, 19:08:36, -17.420584, 13.435987, 1279.82,  6336.00, 99, 0, 186.38, 1
2014/07/22, 19:09:11, -17.420532, 13.436263, 1280.68,  180.00, 260, 0, 29.85, 1
2014/07/22, 19:09:51, -17.420565, 13.436412, 1158.22,  1872.00, 19, 0, 16.23, 1
2014/07/22, 19:10:50, -17.420696, 13.436240, 1109.30,  3060.00, 172, 0, 23.35, 
2014/07/22, 19:11:52, -17.420883, 13.436047, 825.34,  432.00, 28, 0, 29.18, 
2014/07/22, 19:12:47, -17.420483, 13.436189, 1070.83,  3348.00, 137, 0, 46.96, 
2014/07/22, 19:13:42, -17.420527, 13.436098, 1034.15,  1548.00, 276, 0, 10.82, 
2014/07/22, 19:14:30, -17.420443, 13.436127, 1111.43,  4716.00, 74, 0, 9.83, 
2014/07/22, 19:15:09, -17.420113, 13.436869, 1069.06,  6084.00, 69, 0, 86.85, 1
2014/07/22, 19:15:47, -17.419773, 13.437415, 1078.67,  7200.00, 51, 0, 69.17, 1
2014/07/22, 19:16:24, -17.419497, 13.437814, 957.67,  3060.00, 47, -1, 52.29, 1
2014/07/22, 19:16:36, -17.419413, 13.437891, 953.78,  10512.00, 37, -1, 12.41, 1
2014/07/22, 19:17:16, -17.419079, 13.438618, 953.50,  6804.00, 82, 0, 85.61, 1
2014/07/22, 19:18:14, -17.418848, 13.438740, 1114.81,  1584.00, 238, 0, 28.76, 1
2014/07/22, 19:18:49, -17.418636, 13.438754, 1161.06,  1404.00, 86, -1, 23.62, 
2014/07/22, 19:19:59, -17.419010, 13.438584, 925.59,  1188.00, 329, 0, 45.33, 
2014/07/22, 19:21:02, -17.418011, 13.440454, 916.31,  5976.00, 58, 0, 227.38, 1
2014/07/22, 19:21:55, -17.417051, 13.441468, 877.37,  3816.00, 48, 0, 151.55, 1
2014/07/22, 19:22:33, -17.416788, 13.442063, 969.13,  6624.00, 114, 0, 69.57, 1
2014/07/22, 19:23:13, -17.416895, 13.442818, 950.15,  7488.00, 48, 0, 80.98, 1
2014/07/22, 19:23:57, -17.416576, 13.443538, 983.93,  5364.00, 40, 0, 84.22, 1
2014/07/22, 19:24:44, -17.416122, 13.444045, 955.15,  6228.00, 39, 0, 73.77, 1
2014/07/22, 19:25:21, -17.415525, 13.444447, 980.84,  5400.00, 344, 0, 78.90, 1
2014/07/22, 19:26:06, -17.415119, 13.444860, 983.30,  3348.00, 61, 0, 62.91, 1
2014/07/22, 19:26:46, -17.414633, 13.445170, 971.66,  2268.00, 75, 0, 63.26, 1
2014/07/22, 19:27:27, -17.414120, 13.445472, 964.30,  1656.00, 44, 0, 65.43, 1
2014/07/22, 19:28:12, -17.414194, 13.445398, 951.15,  4968.00, 241, 0, 11.37, 1
2014/07/22, 19:28:52, -17.414106, 13.445524, 966.57,  3096.00, 70, 0, 16.57, 
2014/07/22, 19:29:33, -17.414181, 13.445702, 1005.28,  648.00, 8, 0, 20.64, 
2014/07/22, 19:30:14, -17.414001, 13.445400, 965.25,  2052.00, 328, 0, 37.78, 
2014/07/22, 19:30:53, -17.414036, 13.445539, 971.61,  936.00, 262, 0, 15.25, 
2014/07/22, 19:31:35, -17.413332, 13.445407, 1040.93,  6264.00, 327, 0, 79.52, 1
2014/07/22, 19:32:16, -17.413170, 13.444761, 860.73,  576.00, 24, 0, 70.87, 1
2014/07/22, 19:32:54, -17.413151, 13.445218, 1035.61,  684.00, 113, -1, 48.53, 1
2014/07/22, 19:33:38, -17.413212, 13.444888, 931.22,  252.00, 43, 0, 35.66, 1
2014/07/22, 19:34:21, -17.413176, 13.445183, 983.03,  2484.00, 133, 0, 31.55, 1
2014/07/22, 19:35:15, -17.413000, 13.445295, 1045.55,  360.00, 55, 0, 22.90, 1
2014/07/22, 19:36:05, -17.413168, 13.445044, 974.64,  972.00, 111, 0, 32.53, 
2014/07/22, 19:37:05, -17.413424, 13.445320, 1009.89,  1116.00, 213, 0, 40.84, 
