Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/22, 17:46:28, -17.413324, 13.444753, 1028.90,  252.00, 78, -2, 0.00, 1
2014/07/22, 17:47:27, -17.413376, 13.444531, 997.60,  1800.00, 267, 0, 24.25, 1
2014/07/22, 17:48:02, -17.413372, 13.444112, 1000.35,  0.00, 265, 0, 44.46, 
2014/07/22, 17:48:38, -17.413633, 13.444027, 1014.86,  3240.00, 201, 0, 30.39, 1
2014/07/22, 17:49:14, -17.413742, 13.443928, 1006.35,  2412.00, 92, 0, 16.04, 1
2014/07/22, 17:49:47, -17.413973, 13.444020, 1026.62,  3744.00, 91, 0, 27.48, 1
2014/07/22, 17:50:36, -17.414013, 13.444057, 980.75,  1188.00, 188, 0, 5.93, 1
2014/07/22, 17:51:13, -17.414024, 13.443995, 998.99,  1512.00, 196, 0, 6.69, 
2014/07/22, 17:51:50, -17.414232, 13.443915, 1011.46,  0.00, 241, 0, 24.64, 
2014/07/22, 17:52:29, -17.414314, 13.443925, 1023.37,  0.00, 265, 0, 9.18, 
2014/07/22, 17:53:05, -17.414213, 13.443810, 1016.57,  1296.00, 343, 0, 16.58, 
2014/07/22, 17:53:44, -17.414139, 13.443701, 1010.43,  1404.00, 184, 0, 14.19, 
2014/07/22, 17:54:20, -17.414165, 13.443776, 1007.95,  0.00, 0, 0, 8.47, 
2014/07/22, 17:54:55, -17.414440, 13.443884, 1009.16,  3528.00, 202, 0, 32.66, 
2014/07/22, 17:55:30, -17.414398, 13.443756, 999.32,  972.00, 175, 0, 14.36, 
2014/07/22, 17:56:06, -17.414377, 13.443824, 1007.68,  0.00, 23, 0, 7.58, 
2014/07/22, 17:56:44, -17.414135, 13.443786, 1019.14,  972.00, 280, 0, 27.21, 
2014/07/22, 17:57:19, -17.414202, 13.443690, 1011.78,  1656.00, 281, 0, 12.62, 
2014/07/22, 17:57:54, -17.414246, 13.443739, 1006.03,  2556.00, 3, 0, 7.14, 
2014/07/22, 17:58:33, -17.414181, 13.443818, 1011.79,  0.00, 264, 0, 11.07, 
2014/07/22, 17:59:09, -17.413942, 13.443515, 1000.20,  1188.00, 83, 0, 41.71, 
2014/07/22, 17:59:50, -17.414347, 13.443750, 1035.58,  1224.00, 348, 0, 51.48, 
2014/07/22, 18:00:27, -17.414236, 13.443781, 1013.47,  0.00, 3, 0, 12.77, 
2014/07/22, 18:01:01, -17.414070, 13.443871, 1010.44,  2556.00, 92, 0, 20.78, 
2014/07/22, 18:01:35, -17.413811, 13.444109, 1018.79,  2124.00, 40, 0, 38.30, 
2014/07/22, 18:02:12, -17.413536, 13.444211, 1016.66,  0.00, 357, 0, 32.44, 
2014/07/22, 18:02:45, -17.413462, 13.444240, 1015.34,  4644.00, 57, 0, 8.78, 1
2014/07/22, 18:03:17, -17.413319, 13.444511, 1012.44,  0.00, 48, 0, 32.86, 1
2014/07/22, 18:03:54, -17.413244, 13.444965, 983.88,  0.00, 61, 0, 48.89, 
2014/07/22, 18:04:28, -17.413143, 13.445169, 1037.25,  828.00, 274, 0, 24.38, 
2014/07/22, 18:05:04, -17.413019, 13.445086, 960.92,  1116.00, 351, -1, 16.36, 
2014/07/22, 18:05:43, -17.413191, 13.445040, 1014.99,  2736.00, 114, 0, 19.74, 
2014/07/22, 18:06:23, -17.413456, 13.445127, 1045.44,  180.00, 306, 0, 30.88, 
2014/07/22, 18:07:06, -17.413326, 13.444997, 1005.74,  0.00, 162, 0, 19.98, 
2014/07/22, 18:07:40, -17.413401, 13.445088, 990.64,  756.00, 353, 0, 12.76, 
2014/07/22, 18:08:19, -17.413305, 13.445010, 995.60,  0.00, 124, 0, 13.51, 
2014/07/22, 18:08:54, -17.413420, 13.445236, 1054.01,  1188.00, 209, 0, 27.17, 
2014/07/22, 18:09:33, -17.413319, 13.445294, 1012.99,  2376.00, 46, 0, 12.81, 
2014/07/22, 18:10:10, -17.413092, 13.445329, 1007.78,  0.00, 224, 0, 25.51, 
2014/07/22, 18:10:47, -17.413250, 13.445141, 1002.02,  1332.00, 276, 0, 26.58, 
2014/07/22, 18:11:25, -17.413177, 13.445022, 1007.40,  0.00, 129, 0, 15.01, 
2014/07/22, 18:12:06, -17.412981, 13.445046, 1028.71,  0.00, 63, 0, 21.94, 
2014/07/22, 18:12:42, -17.413158, 13.445167, 1000.30,  936.00, 94, 0, 23.50, 
2014/07/22, 18:13:21, -17.413345, 13.445047, 999.69,  0.00, 257, 0, 24.38, 
2014/07/22, 18:13:54, -17.413237, 13.445117, 1008.85,  0.00, 0, 0, 14.12, 
2014/07/22, 18:14:32, -17.413502, 13.445024, 1003.57,  0.00, 67, 0, 31.07, 
2014/07/22, 18:15:07, -17.413324, 13.444981, 1005.77,  0.00, 80, 0, 20.31, 
2014/07/22, 18:15:46, -17.413282, 13.445113, 1007.08,  0.00, 27, 0, 14.76, 
2014/07/22, 18:16:20, -17.413256, 13.445022, 1003.67,  0.00, 0, 0, 10.08, 
2014/07/22, 18:16:57, -17.413317, 13.445126, 1041.41,  0.00, 276, 0, 12.95, 
2014/07/22, 18:17:35, -17.413298, 13.445220, 1003.90,  0.00, 266, 0, 10.19, 
2014/07/22, 18:18:08, -17.413204, 13.445086, 1016.79,  0.00, 355, 0, 17.65, 
2014/07/22, 18:18:45, -17.413065, 13.445161, 953.33,  2124.00, 267, 0, 17.38, 
2014/07/22, 18:19:20, -17.413080, 13.445092, 1003.53,  0.00, 142, 0, 7.51, 
2014/07/22, 18:19:53, -17.413044, 13.445088, 996.12,  900.00, 286, 0, 4.03, 
2014/07/22, 18:20:36, -17.412756, 13.444657, 982.87,  180.00, 280, 0, 55.83, 
2014/07/22, 18:21:16, -17.413008, 13.444872, 974.25,  2304.00, 142, 0, 36.13, 1
2014/07/22, 18:21:49, -17.412874, 13.444890, 991.50,  6192.00, 128, 0, 15.02, 1
2014/07/22, 18:22:24, -17.413057, 13.445149, 990.19,  468.00, 275, 0, 34.19, 
2014/07/22, 18:22:56, -17.413090, 13.444979, 983.67,  2772.00, 225, 0, 18.41, 
2014/07/22, 18:23:31, -17.413013, 13.444864, 980.24,  0.00, 129, 0, 14.91, 
2014/07/22, 18:24:13, -17.413069, 13.445139, 994.38,  1044.00, 119, 0, 29.83, 
2014/07/22, 18:24:50, -17.413012, 13.445090, 984.43,  1152.00, 284, 0, 8.20, 1
2014/07/22, 18:25:23, -17.412888, 13.444568, 984.31,  5832.00, 216, 0, 57.07, 1
2014/07/22, 18:26:04, -17.413071, 13.445305, 1005.75,  612.00, 124, 0, 80.80, 1
2014/07/22, 18:26:38, -17.412975, 13.444596, 1051.16,  0.00, 320, 0, 75.98, 1
2014/07/22, 18:27:20, -17.413055, 13.444877, 1049.78,  1152.00, 350, 0, 31.11, 
2014/07/22, 18:27:55, -17.413013, 13.444822, 1043.69,  0.00, 328, 0, 7.47, 
2014/07/22, 18:28:54, -17.412811, 13.444415, 1014.54,  4284.00, 303, 0, 48.67, 1
2014/07/22, 18:29:40, -17.412989, 13.445137, 1005.01,  3780.00, 173, 0, 79.12, 1
2014/07/22, 18:30:22, -17.412962, 13.444884, 973.42,  720.00, 202, 0, 27.01, 1
2014/07/22, 18:31:26, -17.412951, 13.444961, 933.22,  1116.00, 139, 0, 8.26, 1
2014/07/22, 18:32:22, -17.412964, 13.444949, 985.01,  1116.00, 301, 0, 1.93, 
2014/07/22, 18:33:37, -17.413221, 13.445068, 975.93,  576.00, 144, 0, 31.24, 
2014/07/22, 18:34:24, -17.413166, 13.445285, 918.59,  0.00, 280, 0, 23.82, 
2014/07/22, 18:34:57, -17.413265, 13.445425, 807.69,  11736.00, 110, 0, 18.49, 
2014/07/22, 18:35:31, -17.412987, 13.444937, 1008.81,  0.00, 249, 0, 60.30, 
2014/07/22, 18:36:07, -17.413094, 13.444959, 1029.44,  972.00, 103, 0, 12.12, 
2014/07/22, 18:36:44, -17.413254, 13.445160, 972.42,  9432.00, 114, 0, 27.77, 
2014/07/22, 18:37:17, -17.413101, 13.444926, 1016.56,  0.00, 347, 0, 30.10, 
2014/07/22, 18:37:51, -17.413122, 13.445035, 1004.11,  0.00, 184, 0, 11.80, 
2014/07/22, 18:38:26, -17.413195, 13.444871, 1035.20,  0.00, 62, 0, 19.20, 
2014/07/22, 18:39:20, -17.413067, 13.445256, 941.16,  1476.00, 101, 0, 43.26, 
2014/07/22, 18:39:55, -17.413109, 13.445082, 910.03,  0.00, 98, 0, 19.04, 
2014/07/22, 18:40:29, -17.413145, 13.444964, 964.70,  0.00, 243, 0, 13.14, 
2014/07/22, 18:41:11, -17.413168, 13.445374, 1146.09,  900.00, 94, 0, 43.58, 
2014/07/22, 18:41:47, -17.413223, 13.445368, 1189.82,  1260.00, 297, 0, 6.15, 
2014/07/22, 18:42:23, -17.413265, 13.445222, 1006.41,  0.00, 62, 0, 16.18, 
2014/07/22, 18:43:00, -17.413139, 13.445080, 961.83,  972.00, 18, 0, 20.57, 1
2014/07/22, 18:43:35, -17.413183, 13.445102, 928.67,  1764.00, 302, 0, 5.42, 1
2014/07/22, 18:44:11, -17.413317, 13.445163, 936.68,  180.00, 358, 0, 16.25, 
2014/07/22, 18:44:51, -17.413343, 13.445074, 806.40,  1440.00, 255, 0, 9.88, 
2014/07/22, 18:45:34, -17.413116, 13.444951, 1117.83,  2196.00, 212, 0, 28.42, 
2014/07/22, 18:46:12, -17.413242, 13.445241, 1021.29,  1512.00, 16, 0, 33.81, 
2014/07/22, 18:46:51, -17.413218, 13.445077, 989.45,  0.00, 94, 0, 17.60, 
2014/07/22, 18:47:30, -17.413227, 13.445454, 1031.49,  0.00, 110, 0, 40.01, 
2014/07/22, 18:48:05, -17.413368, 13.444995, 1012.25,  2520.00, 70, 0, 51.16, 
2014/07/22, 18:48:59, -17.413183, 13.445207, 1018.24,  3168.00, 104, 0, 30.48, 
2014/07/22, 18:49:53, -17.413290, 13.445208, 1018.85,  7416.00, 108, 0, 11.90, 
2014/07/22, 18:50:36, -17.413233, 13.445282, 997.03,  3132.00, 158, 0, 10.09, 
2014/07/22, 18:51:18, -17.413216, 13.445163, 1011.46,  864.00, 330, 0, 12.77, 
2014/07/22, 18:52:16, -17.413435, 13.445209, 996.31,  1512.00, 106, 0, 24.84, 
2014/07/22, 18:53:15, -17.413296, 13.445101, 996.76,  1980.00, 181, 0, 19.24, 
2014/07/22, 18:54:15, -17.413313, 13.445133, 993.53,  1728.00, 260, 0, 3.89, 
2014/07/22, 18:55:19, -17.413059, 13.445106, 988.81,  1260.00, 326, -4, 28.39, 1
2014/07/23, 12:11:18, -17.412998, 13.444959, 1005.89,  468.00, 319, -2, 0.00, 1
2014/07/23, 12:12:45, -17.413025, 13.444968, 1010.69,  360.00, 142, 0, 3.15, 1
2014/07/23, 12:14:16, -17.413040, 13.445013, 1012.98,  540.00, 352, 0, 5.06, 1
2014/07/23, 12:15:14, -17.413094, 13.445023, 998.28,  1404.00, 237, 0, 6.10, 1
2014/07/23, 12:16:37, -17.413076, 13.445099, 1014.49,  612.00, 313, 0, 8.31, 1
2014/07/23, 12:17:53, -17.412998, 13.444866, 979.28,  1512.00, 220, 0, 26.20, 1
2014/07/23, 12:19:00, -17.412880, 13.445087, 1062.44,  72.00, 11, 0, 26.87, 1
2014/07/23, 12:20:21, -17.413042, 13.444974, 1009.51,  1224.00, 263, 0, 21.64, 1
2014/07/23, 12:21:37, -17.413080, 13.445046, 1010.08,  1476.00, 249, 0, 8.73, 1
2014/07/23, 12:22:31, -17.412855, 13.444952, 1059.26,  684.00, 168, 0, 26.93, 1
2014/07/23, 12:23:21, -17.413099, 13.445188, 1005.13,  504.00, 248, 0, 36.92, 1
2014/07/23, 12:24:10, -17.412937, 13.445208, 1029.68,  972.00, 254, 0, 18.14, 1
2014/07/23, 12:24:50, -17.413063, 13.445160, 1012.96,  2448.00, 231, 0, 14.91, 1
2014/07/23, 12:25:30, -17.412933, 13.444983, 1033.80,  576.00, 283, 0, 23.70, 1
2014/07/23, 12:26:09, -17.413069, 13.445056, 1044.18,  1944.00, 190, 0, 16.99, 1
2014/07/23, 12:26:52, -17.412966, 13.444969, 1040.45,  252.00, 204, 0, 14.71, 1
