Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/10, 11:29:34, -17.392151, 13.606732, 964.13,  1728.00, 273, -2, 0.00, 1
2014/07/10, 11:30:41, -17.392349, 13.606739, 942.98,  1944.00, 237, 0, 22.03, 1
2014/07/10, 11:31:54, -17.392763, 13.606289, 975.49,  3096.00, 203, 0, 66.33, 1
2014/07/10, 11:32:37, -17.392828, 13.605968, 941.25,  756.00, 231, 0, 34.82, 1
2014/07/10, 11:33:19, -17.393066, 13.605814, 924.46,  1980.00, 233, 0, 31.10, 1
2014/07/10, 11:34:07, -17.393242, 13.605582, 929.10,  756.00, 62, 0, 31.45, 1
2014/07/10, 11:35:08, -17.393253, 13.605536, 924.41,  1368.00, 172, 0, 5.03, 1
2014/07/10, 11:36:05, -17.393335, 13.605515, 932.37,  864.00, 209, 0, 9.39, 1
2014/07/10, 11:37:07, -17.393570, 13.605455, 960.78,  2448.00, 111, 0, 26.90, 1
2014/07/10, 11:37:55, -17.393669, 13.605610, 913.25,  2052.00, 250, 0, 19.79, 1
2014/07/10, 11:39:28, -17.393284, 13.606265, 833.42,  3276.00, 63, 0, 81.63, 1
2014/07/10, 11:41:28, -17.392975, 13.606469, 854.28,  2520.00, 31, 0, 40.61, 1
2014/07/10, 11:42:58, -17.393547, 13.605483, 970.58,  2700.00, 255, 0, 122.44, 1
2014/07/10, 11:43:40, -17.393593, 13.605499, 947.22,  2916.00, 179, 0, 5.39, 1
2014/07/10, 11:44:25, -17.393602, 13.605547, 931.10,  1620.00, 246, 0, 5.19, 1
2014/07/10, 11:45:26, -17.393604, 13.605671, 945.80,  1080.00, 47, 0, 13.16, 1
2014/07/10, 11:46:58, -17.392252, 13.607497, 736.35,  2340.00, 140, 0, 245.24, 1
2014/07/10, 11:49:00, -17.393566, 13.605710, 934.43,  648.00, 356, 0, 239.38, 1
2014/07/10, 11:51:00, -17.393721, 13.605554, 917.15,  1296.00, 216, 0, 23.90, 1
2014/07/10, 11:53:49, -17.393545, 13.605756, 902.77,  2160.00, 47, 0, 29.02, 1
2014/07/10, 11:55:31, -17.393517, 13.605556, 966.50,  0.00, 60, 0, 21.45, 1
2014/07/10, 11:56:14, -17.393663, 13.605540, 933.51,  1944.00, 21, 0, 16.32, 1
2014/07/10, 11:56:54, -17.393654, 13.605590, 942.25,  1620.00, 291, 0, 5.40, 1
2014/07/10, 11:57:44, -17.393574, 13.605538, 988.35,  540.00, 329, 0, 10.47, 1
2014/07/10, 11:59:05, -17.393597, 13.605625, 918.46,  1728.00, 287, 0, 9.58, 1
2014/07/10, 12:00:31, -17.393661, 13.605618, 886.94,  900.00, 12, 0, 7.16, 1
2014/07/10, 12:01:37, -17.393471, 13.605627, 965.58,  936.00, 238, 0, 21.15, 1
