Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/06/15, 16:37:04, -17.407009, 13.505328, 967.48,  504.00, 290, -2, 0.00, 1
2014/06/15, 16:37:45, -17.407141, 13.505435, 966.53,  0.00, 313, 0, 18.56, 1
2014/06/15, 16:38:19, -17.407053, 13.505349, 969.89,  0.00, 357, 0, 13.38, 1
2014/06/15, 16:38:53, -17.407042, 13.505373, 979.42,  0.00, 271, 0, 2.82, 1
2014/06/15, 16:39:28, -17.407017, 13.505379, 981.26,  1476.00, 177, 0, 2.85, 1
2014/06/15, 16:40:03, -17.406975, 13.505346, 974.53,  360.00, 274, 0, 5.84, 1
2014/06/15, 16:40:37, -17.407022, 13.505338, 976.02,  0.00, 272, 0, 5.29, 1
2014/06/15, 16:41:11, -17.406944, 13.505215, 979.24,  2736.00, 350, 0, 15.67, 1
2014/06/15, 16:41:45, -17.406763, 13.505143, 986.67,  0.00, 301, 0, 21.53, 1
2014/06/15, 16:42:19, -17.406916, 13.505243, 978.72,  0.00, 97, 0, 20.05, 1
2014/06/15, 16:42:54, -17.407022, 13.505208, 949.36,  936.00, 305, 0, 12.36, 1
2014/06/15, 16:43:30, -17.406918, 13.505228, 974.49,  2268.00, 179, 0, 11.76, 1
2014/06/15, 16:44:05, -17.406832, 13.505152, 974.77,  0.00, 125, 0, 12.51, 1
2014/06/15, 16:44:40, -17.406887, 13.505281, 974.74,  0.00, 265, 0, 14.99, 1
2014/06/15, 16:45:14, -17.407051, 13.505295, 993.95,  2124.00, 329, 0, 18.30, 1
2014/06/15, 16:45:48, -17.407173, 13.505167, 995.97,  1296.00, 206, 0, 19.20, 1
2014/06/15, 16:46:23, -17.407198, 13.505234, 972.54,  3600.00, 163, 0, 7.63, 1
2014/06/15, 16:46:58, -17.407442, 13.505428, 982.60,  0.00, 46, 0, 34.06, 1
2014/06/15, 16:47:33, -17.407471, 13.505506, 981.37,  2232.00, 8, 0, 8.88, 1
2014/06/15, 16:48:07, -17.407413, 13.505390, 960.68,  1944.00, 270, 0, 13.90, 1
2014/06/15, 16:48:42, -17.407465, 13.505477, 982.40,  900.00, 65, 0, 10.89, 1
2014/06/15, 16:49:16, -17.407501, 13.505521, 991.82,  0.00, 103, 0, 6.15, 1
2014/06/15, 16:49:49, -17.407650, 13.505547, 990.53,  1368.00, 90, 0, 16.80, 1
2014/06/15, 16:50:23, -17.407467, 13.505384, 970.82,  0.00, 192, 0, 26.71, 1
2014/06/15, 16:50:59, -17.407469, 13.505241, 975.92,  0.00, 110, 0, 15.17, 1
2014/06/15, 16:51:34, -17.407604, 13.505301, 979.41,  1152.00, 105, 0, 16.31, 1
2014/06/15, 16:52:09, -17.407459, 13.505342, 979.89,  612.00, 175, 0, 16.70, 1
2014/06/15, 16:52:44, -17.407549, 13.505183, 980.05,  0.00, 201, 0, 19.62, 1
2014/06/15, 16:53:19, -17.407547, 13.505076, 983.39,  0.00, 332, 0, 11.36, 1
2014/06/15, 16:53:55, -17.407475, 13.504820, 983.45,  0.00, 222, 0, 28.32, 1
2014/06/15, 16:54:30, -17.407492, 13.504711, 964.24,  2340.00, 292, 0, 11.72, 1
2014/06/15, 16:55:04, -17.407434, 13.505018, 984.73,  0.00, 108, 0, 33.21, 1
2014/06/15, 16:55:39, -17.407570, 13.505080, 973.29,  10476.00, 220, 0, 16.49, 1
2014/06/15, 16:56:14, -17.407703, 13.504833, 964.05,  1260.00, 45, 0, 30.09, 1
2014/06/15, 16:56:50, -17.407627, 13.504526, 979.82,  0.00, 307, 0, 33.65, 1
2014/06/15, 16:57:26, -17.407877, 13.504105, 988.54,  0.00, 233, 0, 52.61, 1
2014/06/15, 16:58:02, -17.408018, 13.503716, 978.55,  6048.00, 244, 0, 44.15, 1
2014/06/15, 16:58:35, -17.408207, 13.503513, 982.28,  5184.00, 252, 0, 30.09, 1
2014/06/15, 16:59:10, -17.408415, 13.503052, 968.68,  0.00, 286, 0, 54.11, 1
2014/06/15, 16:59:44, -17.408545, 13.502666, 977.40,  3168.00, 283, 0, 43.43, 1
2014/06/15, 17:00:20, -17.408615, 13.502242, 969.45,  2664.00, 295, 0, 45.66, 1
2014/06/15, 17:00:55, -17.408577, 13.501854, 965.58,  8352.00, 302, 0, 41.38, 1
2014/06/15, 17:01:29, -17.408760, 13.501688, 982.43,  31212.00, 180, 0, 26.91, 1
2014/06/15, 17:02:04, -17.408407, 13.501615, 976.24,  0.00, 325, 0, 40.01, 1
2014/06/15, 17:02:40, -17.408484, 13.501595, 974.23,  7056.00, 145, 0, 8.82, 1
2014/06/15, 17:03:15, -17.408495, 13.501558, 960.18,  1440.00, 198, 0, 4.11, 1
2014/06/15, 17:03:51, -17.408211, 13.501774, 976.40,  0.00, 15, 0, 39.02, 1
2014/06/15, 17:04:26, -17.408186, 13.501929, 976.89,  1620.00, 224, 0, 16.68, 1
2014/06/15, 17:05:01, -17.408115, 13.501842, 974.76,  504.00, 24, 0, 12.15, 1
2014/06/15, 17:05:34, -17.408173, 13.501932, 973.09,  684.00, 335, 0, 11.52, 1
2014/06/15, 17:06:09, -17.408176, 13.502340, 1009.51,  2088.00, 289, 0, 43.29, 1
2014/06/15, 17:06:45, -17.408131, 13.501992, 973.25,  0.00, 152, 0, 37.26, 1
2014/06/15, 17:07:20, -17.408159, 13.501923, 975.48,  2088.00, 349, 0, 7.96, 1
2014/06/15, 17:07:55, -17.408226, 13.502014, 965.20,  1584.00, 319, 0, 12.20, 1
2014/06/15, 17:08:32, -17.408300, 13.502007, 957.14,  648.00, 145, 0, 8.26, 1
2014/06/15, 17:09:07, -17.407269, 13.501248, 1100.81,  2304.00, 141, 0, 140.10, 1
2014/06/15, 17:09:42, -17.408251, 13.502247, 1007.62,  2232.00, 315, 0, 152.18, 1
2014/06/15, 17:10:18, -17.408312, 13.501845, 973.61,  0.00, 271, 0, 43.19, 1
2014/06/15, 17:10:53, -17.408459, 13.501607, 979.44,  0.00, 213, 0, 30.08, 1
2014/06/15, 17:11:28, -17.408539, 13.501708, 981.10,  3168.00, 216, 0, 13.93, 1
2014/06/15, 17:12:06, -17.408564, 13.501367, 946.06,  0.00, 282, 0, 36.29, 1
2014/06/15, 17:12:41, -17.408854, 13.501361, 969.40,  4428.00, 213, 0, 32.25, 1
2014/06/15, 17:13:16, -17.409199, 13.501054, 937.53,  3744.00, 242, 0, 50.33, 1
2014/06/15, 17:13:51, -17.409214, 13.501071, 980.16,  2340.00, 67, 0, 2.46, 1
2014/06/15, 17:14:26, -17.409319, 13.500789, 947.32,  0.00, 198, 0, 32.12, 1
2014/06/15, 17:15:00, -17.409580, 13.500573, 958.03,  0.00, 220, 0, 36.98, 1
2014/06/15, 17:15:35, -17.409838, 13.500417, 979.15,  6444.00, 229, 0, 33.12, 1
2014/06/15, 17:16:10, -17.410118, 13.500072, 956.15,  6156.00, 220, 0, 48.05, 1
2014/06/15, 17:16:45, -17.410524, 13.500047, 956.26,  4248.00, 186, 0, 45.22, 1
2014/06/15, 17:17:20, -17.410643, 13.500277, 975.50,  2052.00, 58, 0, 27.76, 1
2014/06/15, 17:17:55, -17.410513, 13.500039, 971.26,  5364.00, 42, 0, 29.10, 1
2014/06/15, 17:18:31, -17.410208, 13.500269, 983.46,  3564.00, 67, 0, 41.78, 1
2014/06/15, 17:19:07, -17.409819, 13.500467, 968.82,  5436.00, 52, 0, 48.09, 1
2014/06/15, 17:19:42, -17.409512, 13.500773, 988.68,  5508.00, 42, 0, 47.11, 1
2014/06/15, 17:20:17, -17.409325, 13.501160, 972.14,  5688.00, 115, 0, 46.03, 1
2014/06/15, 17:20:53, -17.409391, 13.501704, 976.93,  7416.00, 91, 0, 58.18, 1
2014/06/15, 17:21:28, -17.409443, 13.502120, 972.10,  3816.00, 164, 0, 44.52, 1
