Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/06/12, 14:22:28, -17.410341, 13.470486, 990.63,  3348.00, 297, -2, 0.00, 1
2014/06/12, 14:23:09, -17.410156, 13.470170, 989.04,  0.00, 308, 0, 39.34, 1
2014/06/12, 14:23:43, -17.409966, 13.469976, 998.59,  2664.00, 310, 0, 29.50, 1
2014/06/12, 14:24:17, -17.409676, 13.469756, 1023.57,  0.00, 0, 0, 39.81, 1
2014/06/12, 14:24:52, -17.409597, 13.469533, 980.51,  504.00, 202, 0, 25.24, 1
2014/06/12, 14:25:26, -17.409555, 13.469602, 997.65,  0.00, 11, 0, 8.68, 1
2014/06/12, 14:26:00, -17.409334, 13.469742, 986.51,  1440.00, 79, 0, 28.71, 1
2014/06/12, 14:26:51, -17.409454, 13.469718, 978.69,  576.00, 107, 0, 13.58, 1
2014/06/12, 14:27:26, -17.409500, 13.469622, 983.12,  2196.00, 283, 0, 11.40, 1
2014/06/12, 14:28:01, -17.409317, 13.469788, 989.38,  612.00, 19, 0, 26.91, 1
2014/06/12, 14:28:40, -17.409369, 13.469734, 998.46,  1188.00, 75, 0, 8.14, 1
2014/06/12, 14:29:15, -17.409540, 13.469843, 1001.70,  0.00, 198, 0, 22.26, 1
2014/06/12, 14:29:49, -17.409393, 13.469922, 1035.41,  1656.00, 357, 0, 18.37, 1
2014/06/12, 14:30:36, -17.409441, 13.469873, 999.19,  2016.00, 39, 0, 7.45, 1
2014/06/12, 14:31:20, -17.409412, 13.470004, 1023.73,  360.00, 118, 0, 14.27, 1
2014/06/12, 14:32:04, -17.409391, 13.469810, 1010.46,  396.00, 83, 0, 20.72, 1
2014/06/12, 14:32:38, -17.409273, 13.469840, 1002.30,  1656.00, 59, 0, 13.50, 1
2014/06/12, 14:33:32, -17.409435, 13.469770, 1001.16,  1260.00, 105, 0, 19.48, 1
2014/06/12, 14:34:09, -17.409487, 13.469536, 956.09,  180.00, 234, 0, 25.49, 1
2014/06/12, 14:34:58, -17.409311, 13.469957, 1057.77,  72.00, 267, 0, 48.77, 1
2014/06/12, 14:35:33, -17.409262, 13.470202, 1110.74,  5868.00, 265, 0, 26.56, 1
2014/06/12, 14:36:08, -17.409414, 13.469501, 997.02,  0.00, 172, 0, 76.27, 1
2014/06/12, 14:36:43, -17.409327, 13.469759, 1000.99,  0.00, 53, 0, 29.03, 1
2014/06/12, 14:37:39, -17.409470, 13.469413, 947.24,  1044.00, 258, 0, 40.01, 1
2014/06/12, 14:38:14, -17.409580, 13.469382, 931.67,  0.00, 358, 0, 12.67, 1
2014/06/12, 14:39:06, -17.409374, 13.469420, 941.92,  2376.00, 83, 0, 23.26, 1
2014/06/12, 14:39:47, -17.409492, 13.469587, 965.78,  4860.00, 262, 0, 22.05, 1
2014/06/12, 14:40:21, -17.409359, 13.469320, 923.61,  1224.00, 90, 0, 31.96, 1
