Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/06/12, 12:30:12, -17.410168, 13.470726, 968.65,  3276.00, 221, -2, 0.00, 1
2014/06/12, 12:31:05, -17.410179, 13.470830, 984.03,  36.00, 356, 0, 11.10, 1
2014/06/12, 12:32:04, -17.409874, 13.470719, 701.15,  1368.00, 74, 0, 35.90, 
2014/06/12, 12:32:45, -17.410004, 13.470817, 849.17,  2376.00, 15, 0, 17.81, 
2014/06/12, 12:33:27, -17.410110, 13.470602, 895.71,  36.00, 207, 0, 25.68, 
2014/06/12, 12:34:09, -17.410238, 13.470668, 974.09,  72.00, 244, 0, 15.86, 
2014/06/12, 12:34:57, -17.410131, 13.470835, 953.26,  3096.00, 37, 0, 21.34, 
2014/06/12, 12:35:40, -17.410009, 13.470780, 980.95,  2376.00, 306, 0, 14.77, 
2014/06/12, 12:36:21, -17.409840, 13.470367, 792.16,  3132.00, 315, 0, 47.68, 
2014/06/12, 12:37:04, -17.410023, 13.470373, 1038.05,  4068.00, 298, 0, 20.36, 1
2014/06/12, 12:37:50, -17.409643, 13.470010, 793.41,  2952.00, 316, 0, 57.17, 1
2014/06/12, 12:38:41, -17.409473, 13.469696, 1020.44,  1368.00, 310, 0, 38.30, 1
2014/06/12, 12:39:24, -17.409485, 13.469649, 979.37,  684.00, 345, 0, 5.16, 1
2014/06/12, 12:40:26, -17.409655, 13.469782, 1013.78,  1080.00, 30, 0, 23.59, 
2014/06/12, 12:41:21, -17.409428, 13.469715, 941.91,  1764.00, 22, 0, 26.22, 
2014/06/12, 12:42:26, -17.409384, 13.469750, 984.09,  1224.00, 2, 0, 6.14, 
2014/06/12, 12:43:36, -17.409409, 13.469807, 997.84,  1476.00, 262, 0, 6.66, 
2014/06/12, 12:44:36, -17.409475, 13.469693, 960.74,  216.00, 276, 0, 14.15, 
2014/06/12, 12:45:23, -17.409510, 13.469750, 957.24,  828.00, 178, 0, 7.19, 
2014/06/12, 12:46:14, -17.409412, 13.469795, 1027.43,  972.00, 354, 0, 11.90, 
2014/06/12, 12:46:55, -17.409388, 13.469557, 977.66,  1260.00, 281, 0, 25.39, 
2014/06/12, 12:47:53, -17.409731, 13.469318, 836.59,  1728.00, 12, 0, 45.80, 
2014/06/12, 12:48:43, -17.409315, 13.469669, 1049.45,  1008.00, 128, 0, 59.39, 
2014/06/12, 12:49:41, -17.409527, 13.469742, 1080.10,  1332.00, 357, 0, 24.81, 
2014/06/12, 12:50:52, -17.409283, 13.470134, 1240.07,  936.00, 132, 0, 49.66, 
2014/06/12, 12:52:03, -17.409351, 13.469567, 1020.46,  1656.00, 204, 0, 60.63, 
2014/06/12, 12:53:10, -17.409512, 13.469541, 1051.01,  504.00, 170, 0, 18.11, 
2014/06/12, 12:54:09, -17.409393, 13.469608, 1029.40,  1656.00, 28, 0, 15.02, 
2014/06/12, 12:55:02, -17.409414, 13.469495, 1030.54,  360.00, 318, 0, 12.21, 
2014/06/12, 12:56:01, -17.409357, 13.469971, 1301.41,  7344.00, 41, 0, 50.90, 
2014/06/12, 12:57:00, -17.409475, 13.469437, 963.43,  2628.00, 79, 0, 58.16, 
2014/06/12, 12:59:27, -17.409445, 13.469546, 987.35,  2664.00, 101, 0, 12.04, 
2014/06/12, 13:01:24, -17.410105, 13.472149, 101.55,  1692.00, 228, 0, 285.77, 
2014/06/12, 13:03:23, -17.410015, 13.471212, 345.56,  360.00, 150, 0, 99.92, 
2014/06/12, 13:05:02, -17.409416, 13.469579, 997.95,  648.00, 214, 0, 185.62, 
2014/06/12, 13:06:39, -17.410379, 13.470200, 490.68,  576.00, 344, 0, 125.73, 
2014/06/12, 13:08:16, -17.410227, 13.470051, 509.15,  1548.00, 21, 0, 23.14, 
2014/06/12, 13:09:47, -17.410151, 13.470067, 507.80,  1836.00, 121, 0, 8.62, 
2014/06/12, 13:11:24, -17.410357, 13.470083, 518.40,  1404.00, 224, 0, 22.97, 
2014/06/12, 13:12:57, -17.410147, 13.470071, 570.09,  1944.00, 176, 0, 23.39, 
2014/06/12, 13:14:28, -17.410036, 13.469982, 625.48,  612.00, 272, 0, 15.54, 
2014/06/12, 13:15:50, -17.409874, 13.469888, 722.69,  648.00, 17, 0, 20.59, 
2014/06/12, 13:17:04, -17.409487, 13.469627, 966.14,  180.00, 273, 0, 51.17, 
2014/06/12, 13:18:22, -17.408825, 13.469068, 1413.05,  1656.00, 167, 0, 94.53, 
2014/06/12, 13:19:33, -17.409430, 13.469563, 1000.14,  1404.00, 218, 0, 85.35, 
2014/06/12, 13:20:29, -17.409435, 13.469578, 994.89,  0.00, 165, 0, 1.69, 
2014/06/12, 13:21:13, -17.409523, 13.469597, 986.00,  504.00, 359, 0, 9.99, 
2014/06/12, 13:22:03, -17.409307, 13.469526, 1125.34,  576.00, 324, 0, 25.17, 
2014/06/12, 13:22:52, -17.409367, 13.469632, 991.09,  864.00, 160, 0, 13.08, 
2014/06/12, 13:23:49, -17.409422, 13.469582, 996.52,  1188.00, 58, 0, 8.10, 
2014/06/12, 13:24:55, -17.409533, 13.469674, 908.09,  504.00, 313, 0, 15.74, 
2014/06/12, 13:26:14, -17.409374, 13.469604, 999.42,  1368.00, 55, 0, 19.18, 
2014/06/12, 13:27:31, -17.409344, 13.469489, 1016.69,  792.00, 333, 0, 12.65, 
2014/06/12, 13:28:32, -17.409399, 13.469510, 1019.76,  900.00, 337, 0, 6.51, 
2014/06/12, 13:29:17, -17.409338, 13.469616, 967.96,  108.00, 141, 0, 13.13, 
2014/06/12, 13:30:03, -17.409418, 13.469715, 946.07,  792.00, 0, 0, 13.76, 
2014/06/12, 13:30:54, -17.409487, 13.469770, 962.24,  1044.00, 196, 0, 9.64, 
2014/06/12, 13:31:41, -17.409296, 13.469761, 1000.72,  180.00, 14, 0, 21.26, 
2014/06/12, 13:32:23, -17.409462, 13.469844, 986.09,  648.00, 313, 0, 20.45, 
2014/06/12, 13:33:04, -17.409449, 13.469799, 970.22,  216.00, 5, 0, 4.99, 
2014/06/12, 13:33:46, -17.409401, 13.469744, 968.62,  648.00, 218, 0, 7.91, 
2014/06/12, 13:34:26, -17.409433, 13.469754, 988.66,  180.00, 0, 0, 3.71, 
