Subject,Front,Trial,Degree,RT,Acc
1,0,1,300,17.11,1
1,0,2,60,4.32,0
1,0,3,240,2.9,1
1,0,4,240,4.62,0
1,0,5,180,3,1
1,0,6,180,4,1
1,0,7,120,2.48,0
1,0,8,60,3.67,1
1,0,9,120,3.12,1
1,0,10,300,2.18,0
1,0,11,0,6.5,0
1,0,12,0,2.27,0
1,1,1,180,11.93,0
1,1,2,300,2.95,0
1,1,3,240,1.78,1
1,1,4,240,2.51,0
1,1,5,180,1.77,1
1,1,6,0,3.73,0
1,1,7,60,2.4,0
1,1,8,300,2.12,1
1,1,9,120,1.72,0
1,1,10,120,1.98,0
1,1,11,60,1.65,0
1,1,12,0,1.43,0
2,0,1,60,37.98,0
2,0,2,300,9.25,1
2,0,3,0,8.9,1
2,0,4,60,7.27,0
2,0,5,180,8.6,0
2,0,6,300,3.97,1
2,0,7,120,14.67,0
2,0,8,180,22.25,1
2,0,9,240,5.43,1
2,0,10,0,6.4,1
2,0,11,240,7.87,1
2,0,12,120,6.51,1
2,1,1,60,9.36,0
2,1,2,0,6.68,1
2,1,3,240,3.32,1
2,1,4,240,5.31,0
2,1,5,120,4.82,1
2,1,6,0,3.55,1
2,1,7,120,5.18,1
2,1,8,180,11.6,0
2,1,9,60,6.02,1
2,1,10,180,23.13,0
2,1,11,300,6.43,1
2,1,12,300,4.55,1
3,0,1,240,4.76,0
3,0,2,0,3.8,0
3,0,3,120,3.13,0
3,0,4,300,4.38,1
3,0,5,300,3.08,1
3,0,6,60,2.41,0
3,0,7,60,2.52,0
3,0,8,120,3,0
3,0,9,0,3.43,1
3,0,10,180,5.7,0
3,0,11,240,3.27,1
3,0,12,180,3.23,1
3,1,1,240,4.09,0
3,1,2,120,2.85,1
3,1,3,180,3.91,0
3,1,4,300,3.23,1
3,1,5,240,3.58,0
3,1,6,180,2.65,1
3,1,7,60,3.62,1
3,1,8,300,2.41,1
3,1,9,0,3.03,1
3,1,10,60,3.65,1
3,1,11,120,4.11,0
3,1,12,0,2.2,1
4,0,1,60,3.36,0
4,0,2,240,4.96,0
4,0,3,180,4.33,1
4,0,4,60,4.22,1
4,0,5,0,3.98,1
4,0,6,180,3.25,0
4,0,7,120,5.23,1
4,0,8,300,4.78,1
4,0,9,300,2.93,1
4,0,10,0,2.55,1
4,0,11,120,3.11,1
4,0,12,240,2.47,0
4,1,1,240,4.57,1
4,1,2,60,2.33,1
4,1,3,300,2.67,1
4,1,4,0,3.48,1
