ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
9,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,306,318.1695,12.16946,57897.14
9,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,152,161.9184,9.918427,77045.01
9,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,70.5,73.18396,2.68396,19298.63
9,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
9,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,265,263.032,-1.968018,35788.93
9,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,55,73.94188,18.94188,25130.32
9,okau,-17.3923,13.606783,ongokua,-16.656,13.423,344,346.4698,2.469849,83802.48
9,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,110.5,117.1381,6.638062,25282.81
9,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
9,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,183.5,243.0645,59.56454,26581.13
10,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,305,318.1695,13.16946,57897.14
10,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,168,161.9184,-6.081573,77045.01
10,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,135.5,73.18396,-62.31604,19298.63
10,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,271,276.3727,5.37265,124550.1
10,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,273.5,263.032,-10.46802,35788.93
10,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,140,73.94188,-66.05812,25130.32
10,okau,-17.3923,13.606783,ongokua,-16.656,13.423,11,346.4698,-24.53015,83802.48
10,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,100,117.1381,17.13806,25282.81
10,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,102,93.35631,-8.643692,82984.38
10,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,243,243.0645,6.45E-02,26581.13
11,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,317,318.1695,1.169464,57897.14
11,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,191.5,161.9184,-29.58157,77045.01
11,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,113,73.18396,-39.81604,19298.63
11,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,272,276.3727,4.37265,124550.1
11,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,241.5,263.032,21.53198,35788.93
11,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,71,73.94188,2.941879,25130.32
