location,region,lat,lon,confidence
Otjitado (Chitado),,-17.313,13.908,1
Oroundje,Oroundje,-17.061795,13.501123,2
Oroundje River,Oroundje,,,
Okombiambia,Oroundje,,,
Otjambapa,Oroundje,,,
Ongokua,Oncocua,-16.656,13.423,1
Oromatupa,Oncocua,-16.642226,13.452607,2
Otjaveripa,Oncocua,-16.644292,13.424088,3
otjiwetjamboro,Oncocua,-16.675179,13.408865,1
Otjihapa,Oncocua,,,
Otjingumange,Oncocua,,,
Otjiraokira,Oncocua,-16.732633,13.375915,2
Ompupa,Kwandu River,-16.269,13.482,1
Okano,Kwandu River,,,
Komondundu,Kwandu River,,,
Omunyendi,Kwandu River,,,
Kombamenyi,Kwandu River,,,
Kwandu River,Kwandu River,-16.269,13.482,3
Okaoroka,Okaoroka,,,
Okambenu,Okaoroka,-16.750263,13.489573,
Otjihandjavero,Otjihandjavero,-17.46,13.31,1
Otjizerawe,Otjihandjavero,,,
Otjinjau,,-16.504,13.925,1
Ombembahi,,-16.63,13.7,1
Oviruru,,,,
Erora,,-16.81816,13.277832,1
Ombero,,,,
Evarero,,,,
Eweronbungu,,,,
Karundu Kambeti,Kwandu River,,,
Ohongo,,,,
Okahende,Okahende,-16.720015,13.456013,3
ohangumbi,,-16.780999,13.778826,3
okozonguavi,,-16.767316,13.793902,3
Okakuyu,,,,
Okambundu,,,,
Okamungwando,,,,
Okanunu,,,,
Okaorundu,,,,
Okaruheke,,,,
Okomuti,,,,
Okorondondero,oroundje,-17.049789,13.500592,2
Okovipimbi,,,,
Omanduundu,,,,
Omatunda,,,,
Ombwa,,-16.667604,13.405881,2
Omurovai,,,,
Ondambo,,,,
Ongarerapori,,,,
Ongombwe,,,,
Oriara,,,,
Oroheke,,,,
Oroheke,,,,
Orongombe Tjiute,,-17.054651,13.548689,2
Orovango,,,,
Ororuma,,,,
Oruvango,,,,
Otio,,,,
Otjete,,-17.067421,13.503296,2
Otjihuro,,,,
Otjiku,,,,
Otjimikwiyu,,,,
Otjimbapa,,,,
Otjipatukiwo,,,,
