ID,mr.time,mr.acc
1,4,0.38
2,10,0.67
3,3,0.54
4,3,0.79
5,7,0.5
6,3,0.96
7,5,0.83
8,7,0.54
10,11,0.92
12,7,0.63
13,4,0.54
14,4,1
15,4,0.96
17,4,0.92
18,11,0.96
19,4,0.92
20,12,0.58
23,12,0.83
24,11,0.63
25,8,0.67
27,7,0.92
28,9,0.58
29,8,0.88
30,4,0.96
32,20,0.75
33,12,0.83
35,6,1
36,7,0.96
37,6,0.75
39,9,0.92
40,4,0.75
41,5,0.71
43,5,1
44,7,1
45,4,1
46,12,0.88
47,3,1
48,5,1
49,10,0.58
50,11,0.58
51,14,0.92
52,7,0.96
53,16,0.88
54,9,0.79
55,6,0.79
56,6,0.96
57,5,0.96
58,9,0.92
59,4,0.63
60,4,0.88
62,6,0.96
64,12,0.83
65,14,0.63
66,4,1
67,7,0.79
68,6,1
69,5,1
70,7,0.83
72,8,0.92
73,9,1
74,7,0.83
76,25,0.71
80,12,0.88
81,13,0.67
82,8,1
83,10,0.5
84,6,0.46
86,9,0.75
87,7,0.88
88,5,1
89,4,1
90,5,1
92,6,0.92
93,19,0.75
94,9,0.46
95,9,0.88
96,7,0.79
97,10,0.88
98,10,0.63
100,15,0.92
101,4,0.58
102,11,0.75
104,6,0.88
105,6,1
106,8,0.83
108,6,0.83
109,5,0.92
110,6,0.96
112,9,0.92
113,6,0.96
114,11,0.92
115,12,0.79
116,15,0.63
117,4,0.96
118,5,0.5
119,12,0.96
120,7,1
121,3,1
122,4,1
123,5,0.88
124,4,1
125,5,1
126,8,0.92
127,3,1
128,13,0.88
129,5,0.58
